names,prices
"Chicken Tikka Pizza [Large, 8 inches]",183.0
Chicken Lollipop,168.0
"Tandoori Paneer Pizza [Large, 8 inches]",161.0
Veg COMBO (Noodles),155.0
French Fries,106.0
Coke [500 ml],55.0
Jeera Rice with Dal Fry,150.0
Paneer Kadai with 2 Roti,155.0
Veg COMBO (Noodles),155.0
Paneer Tikka Dry,153.0
Butter Roti,33.0
Chapati,21.0
Chicken Hyderabadi Biryani,198.0
Mushroom Chilli,141.0
Gobi Manchurian,111.0
Paneer Manchurian,141.0
Chicken Chilli,149.0
Chicken Manchurian,149.0
Chicken Lollipop,168.0
Veg Fried Rice,128.0
Veg Noodles,128.0
Tandoodri Paneer Pizza [M] [6 Inches],139.0
"Tandoori Paneer Pizza [Large, 8 inches]",161.0
"Ala Hangyo Pizza [Large, 8 inches]",187.0
"Chicken Tikka Pizza [Large, 8 inches]",183.0
"Chicken Supreme Pizza [Large, 8 Inches]",192.0
Paneer Club Sandwich,148.0
French Fries,106.0
Special Gadbad,132.0
Coke [500 ml],55.0
Thums Up [500 ml],55.0
