names,prices
Traditional Club Sandwich,310.0
Grilled Chicken and Cheese Sandwich,280.0
Crispy Chicken Sandwich,280.0
Vegetable Club Sandwich,260.0
Hot Dog,220.0
Paneer Pakoda,210.0
Cheese Chilli Toast,200.0
Vegetable Pakoda,140.0
Gulab Jamun,130.0
Rasgulla,150.0
Country Veggie Burger,250.0
Country Chicken Burger,280.0
Vegetable Club Sandwich,260.0
Mediterranean Grilled Sandwich,280.0
Crispy Chicken Sandwich,280.0
Grilled Chicken and Cheese Sandwich,280.0
Traditional Club Sandwich,310.0
Hot Dog,220.0
French Fries,150.0
Potato Wedges,170.0
Garlic Bread,130.0
Garlic Bread with Cheese,210.0
Cheese Chilli Toast,200.0
Vegetable Pakoda,140.0
Paneer Pakoda,210.0
Mix Vegetable Raita,80.0
Cucumber Raita,80.0
Fresh Fruit Salad,220.0
Chocolate Ice Cream,130.0
Gulab Jamun,130.0
Rasgulla,150.0
