names,prices
Ffc Special Shawarma Plate,200.0
Bucket Meal [6 Pieces],689.0
Masala Fries,89.0
Chicken Hot Wings,125.0
Chicken Boneless Strips,150.0
Grill Chicken Half (4Pcs),300.0
Ffc Fried Chicken,99.0
Royal Combo Meal,265.0
Chicken Shawarma,120.0
Chicken Burger,120.0
Chicken Burger Meal,210.0
Shawarma Meal [Serves 2],210.0
Chicken Pop Dynamite,189.0
Spicy Chicken Pop,189.0
Zinger Burger,140.0
Royal Chicken Wrap,139.0
Chicken Salad Shawarma,90.0
Green Apple Crush Mojito,79.0
Chicken Mexican Shawarma,130.0
Shawarma Meal [Serves 4],380.0
Chicken Salad Shawarma,90.0
Chicken Shawarma,120.0
Chicken Onion Shawarma,130.0
Chicken Cheese Shawarma,130.0
Chicken Mexican Shawarma,130.0
Chicken Salad Shawarma Plate,150.0
Ffc Special Shawarma Plate,200.0
Royal Meal with Salad Shawarma [2 Pieces],355.0
Dinner Meal with Shawarma,466.0
Shawarma Meal [Serves 2],210.0
Shawarma Meal [Serves 4],380.0
Royal Combo Meal,265.0
Wings Combo Meal,265.0
Bucket Meal [6 Pieces],689.0
Ffc Fried Chicken,99.0
Chicken Boneless Strips,150.0
Chicken Hot Wings,125.0
Alfaham qtr 2 pcs,210.0
Alfaham Full 8 Pcs,480.0
Bbq Hot Wings,190.0
Grill Chicken Half (4Pcs),300.0
Grill Chicken Qtr (2Pcs),210.0
Chicken Dum Biryani Half,170.0
Chicken Burger Meal,210.0
Veg Burger,90.0
Chicken Burger,120.0
Royal Crunchy Burger,130.0
Zinger Burger,140.0
Tandoori Burger,159.0
Crunchy Supreme Burger,120.0
Veg Special Wrap,99.0
Chicken Tacos Wrap,110.0
Royal Chicken Wrap,139.0
Chicken Pop (Regular),179.0
Spicy Chicken Pop,189.0
Chicken Pop Dynamite,189.0
Veg Poppers (12 Pieces),89.0
Chicken Nuggets,139.0
Crispy Fries,89.0
Masala Fries,89.0
Garlic Dip,30.0
Pepsi 250ML,45.0
Mint Lime Mojito,89.0
Green Apple Crush Mojito,79.0
Mango Crush Mojito,79.0
