names,prices
Shawarma Meal For 2,190.0
9 Piece Bucket Meal,989.0
FFC Fried Chicken,99.0
Chicken Boneless Strips,150.0
Chicken Hot Wings,125.0
Crispy Chicken Rice Bowl,180.0
Chicken Pop Rice Bowl,180.0
Boneless Strips Rice Bowl,180.0
Veg Pop Rice Bowl,120.0
Half Biryani + 1 Pc Broast Fried Chicken + Mojito,290.0
Shawarma Meal For 2,190.0
Simple Shawarma Meal For 4,390.0
Shawarma Meal For 4,599.0
Royal Combo Meal,275.0
Strips Combo Meal,275.0
Wings Combo Meal,275.0
Dinner Combo Meal,380.0
King Meal,1389.0
4 Piece Bucket Meal,489.0
6 Piece Bucket Meal,729.0
9 Piece Bucket Meal,989.0
Crispy Fry Combo,145.0
FFC Special Platter,200.0
Crunchy Wrap Box,289.0
Crunchy Rice Box,289.0
Royal Crunchy Box,289.0
24 Pc. Fried Chicken Combo,1099.0
Chicken Dum Biryani,170.0
FFC Broast Biryani,340.0
Special Grilled Chicken,210.0
Platter Grilled Chicken,490.0
FFC Fried Chicken,99.0
Chicken Boneless Strips,150.0
Chicken Hot Wings,125.0
Mini Fried Chicken,210.0
Alfaham [2 Pieces] [Quarter],190.0
Alfaham [4 Pieces] [Half],300.0
Alfaham [8 Pieces] [Full],520.0
BBQ Hot Wings (5 Pieces),190.0
BBQ Hot Wings (10 Pieces),380.0
Veg Burger,100.0
Veg Delight Burger,109.0
Chicken Burger,120.0
Chicken Crunchy Supreme,149.0
Veg Special Wrap,99.0
Chicken Tacos Wrap,120.0
Royal Chicken Wrap,149.0
Chicken Salad Shawarma,90.0
Chicken Shawarma [Only Meat],120.0
Chicken Cheese Shawarma,130.0
Chicken Mexican Shawarma,130.0
Chicken Schezwan Shawarma,130.0
Chicken Onion Shawarma,130.0
Chicken Pop [Regular],149.0
Spicy Chicken Pop,159.0
Chicken Pop Dynamite,159.0
Veg Poppers [12 Pieces],89.0
Veg Smiles,79.0
Veg Nuggets,89.0
Chicken Nuggets,139.0
Chicken Boneless Strips,150.0
Chicken Hot Wings,125.0
Crispy Fries Regular,89.0
Crispy Masala Fries,89.0
Cheesy Mayo Fries,149.0
Cheesy Dynamite Fries,169.0
Crispy Fries,89.0
Masala Fries,89.0
Garlic Dip,25.0
Garlic Dip [100 ml],70.0
Mayonnaise,25.0
Bun,15.0
Coleslaw,59.0
Mango Ice Cream [1 Scoop],45.0
Chocolate Ice Cream [1 Scoop],45.0
Vanilla Ice Cream [1 Scoop],45.0
Mint Lime Mojito,89.0
Ginger Lime Mojito,79.0
Blue Ocean,79.0
Pepsi [250 ml],45.0
