names,prices
All Day English Breakfast,160.0
Chicken Dum Biryani,199.0
Veg Lasagna,180.0
Mac N Cheese Chicken Pasta,170.0
Neer Dosa with Chicken Sukka Combo Meal [Serves 1],125.0
Butter Chicken+2 Naan,220.0
Veg Mac N Cheese Pasta,160.0
Gobi Manchurian,150.0
Keep Fit Chicken,150.0
Butter Chicken with Ghee Rice Combo Meal [Serves 1],150.0
Ghar ki Dalakdi with Chawal,135.0
Paneer Butter Masala with Ghee Rice Combo Meal [Serves 1],135.0
Missal Pav,60.0
Gulab Jamun [2 Pieces],80.0
Chicken Keema Pav,80.0
Fresh Lime Juice,80.0
Aloo Paratha,35.0
Neer Dosa with Chicken Ghee Roast Combo Meal [Serves 1],125.0
Bhindi Masala Fry,160.0
South Indian Style Chicken Pepper Dry,190.0
Chicken Akbari Biryani,199.0
Missal Pav,60.0
Bread [4 Slices],30.0
Vada Pav,60.0
Egg Bread Masala,60.0
Egg Pav Masala,60.0
Mexican Omelette,100.0
Chicken Keema Pav,80.0
Chicken Sukka Pav,80.0
Chicken Ghee Roast Pav,80.0
All Day English Breakfast,160.0
"2 Naan , Veg Makhani and Vegetable Dum Biryani with 2 Fresh Lime Soda",590.0
"2 Naan , Butter Chicken and Chicken Dum Biryani with 2 Fresh Lime Soda",560.0
Chicken Fried Rice with Nuggets [2 Pieces] Combo,160.0
Chicken Noodles with Nuggets [2 Pieces] Combo,160.0
Chicken Dum Biryani with Chicken Andhra Chilli,199.0
Butter Chicken+2 Naan,220.0
Dalakdi with Chawal Combo Meal [Serves 1],135.0
Paneer Butter Masala with Ghee Rice Combo Meal [Serves 1],135.0
Rajma Rice Combo Meal [Serves 1],135.0
Neer Dosa with Chicken Ghee Roast Combo Meal [Serves 1],125.0
Neer Dosa with Chicken Sukka Combo Meal [Serves 1],125.0
Neer Dosa with Chicken Curry Combo Meal [Serves 1],125.0
Butter Chicken with Ghee Rice Combo Meal [Serves 1],150.0
Ghar ki Dalakdi with Chawal,135.0
Ghar Ki Rajma Rice,135.0
Non Veg Tandoori Platter,520.0
Cream of Broccoli and Almond Soup,120.0
