names,prices
Chicken Biryani,182.0
Chicken Tikka Biryani,192.0
Special Chicken Biriyani,185.0
Chicken Lollipop,168.0
Chicken Keema Pulao,164.0
Veg Combo (RICE),155.0
Paneer Butter Masala,164.0
Chicken Fried Rice,137.0
Special Gadbad,132.0
Mushroom Ghee Roast,190.0
Dragon Chicken,174.0
Prawns Biryani,222.0
Butter Chicken,180.0
Chicken Tikka Dry,178.0
Chicken Pepper,153.0
Butter Naan,41.0
Chicken Tikka Masala,165.0
Paneer Tikka Masala,159.0
Chicken Kolhapuri,159.0
Chicken 65,159.0
Egg Biryani,161.0
Chicken Hyderabadi Biryani,198.0
Spicy Khichdi,127.0
Chicken Schezwan Noodles,148.0
Chicken Hariyali Kabab,183.0
Chicken Tikka Pizza [L}],183.0
Egg Fried Rice,130.0
Veg Kofta,159.0
Banjara Kabab Chicken,196.0
[Half] Veg Biryani,117.0
Dal Fry with Jeera Rice,150.0
Veg Combo (RICE),155.0
Veg COMBO (Noodles),155.0
Half Egg Biryani,117.0
Half Chicken Biryani,121.0
Tomato Soup,95.0
Veg Clear Soup,95.0
Veg Manchow Soup,95.0
Veg Hangyo Special Soup,110.0
Chicken Clear Soup,100.0
Chicken Manchow Soup,100.0
Chicken Sweet Corn Soup,100.0
Chicken Hot And Sour Soup,100.0
Chicken Hangyo Special Soup,120.0
Russian Salad,106.0
Crispy Potato,138.0
Crispy Chilli Vegetables,159.0
Paneer Ghee Roast,190.0
Mushroom Ghee Roast,190.0
China Town Chicken,174.0
Paneer Pepper,153.0
Paneer Tikka Dry,153.0
Paneer Shashlik Kebab,153.0
Kalmi Kabab Chicken,168.0
Kasturi Kabab Chicken,206.0
Banjara Kabab Chicken,196.0
Chicken 65,159.0
Dragon Chicken,174.0
Chicken Pepper,153.0
Chicken Lollipop,168.0
Chicken Ghee Roast,204.0
Chicken Tikka Dry,178.0
Murgh Malai Tikka,178.0
Chicken Hariyali Kabab,183.0
Chicken Shashlik Kabab,173.0
Chicken Kali Mirch Kabab,199.0
Chicken Chilli Milli Kabab,201.0
Hunter Chicken [Half],212.0
Hot Wings,180.0
Deep Fried Chicken Kebab,168.0
Day Fry,106.0
Dal Tadka,111.0
Dal Palak,111.0
Dal Makhani,132.0
Green Peas Masala,127.0
Veg Kadai,137.0
Green Peas Palak,137.0
Vegetable Kolhapuri,137.0
Palak Paneer,144.0
Kadai Paneer,159.0
Malai Kofta,159.0
Veg Kofta,159.0
Mushroom Masala,159.0
Kadai Mushroom,159.0
Dum Aloo Punjabi,149.0
Kashmiri Dum Aloo,149.0
Hyderabadi Dum Aloo,149.0
Tawa Paneer Masala,149.0
Paneer Kali Mirch MASALA,159.0
Paneer Bhurji,159.0
