names,prices
Pomegranate Milkshake,55.0
Watermelon Juice,45.0
Orange Juice,45.0
Chocolate Thick Shake,75.0
Carrot Milkshake,55.0
Chikoo Milkshake,55.0
Mix Fruit Juice,45.0
Mosambi Juice,45.0
Pineapple Juice,45.0
Oreo Peanut Butter Thick Shake,75.0
Sharjah Thick Shake,75.0
Oreo Thick Shake,70.0
Fresh Lime Soda,20.0
Lime Juice,20.0
Lime Mint Juice,25.0
Orange Juice,45.0
Mosambi Juice,45.0
Pineapple Juice,45.0
Watermelon Juice,45.0
Grapes Juice,45.0
Mix Fruit Juice,45.0
Chikoo Milkshake,55.0
Pomegranate Milkshake,55.0
Papaya Milkshake,55.0
Muskmelon Milkshake,55.0
Banana Milkshake,50.0
Carrot Milkshake,55.0
Cold Coffee Thick Shake,55.0
Butter Fruit Thick Shake,75.0
Mango Thick Shake,75.0
Oreo Thick Shake,70.0
Oreo Peanut Butter Thick Shake,75.0
Snicker Thick Shake,75.0
Chocolate Thick Shake,75.0
Vanilla Mango Thick Shake,75.0
Vanilla Oreo Thick Shake,75.0
Kesar Badam Thick Shake,75.0
Sharjah Thick Shake,75.0
Jack Fruit Thick Shake,75.0
