names,prices
"Chicken mince stuffed Chicken Steak with Pepper sauce, saute veg and potato/rice",299.0
Chicken Lasagne,279.0
Chicken Caesar Salad,199.0
Chicken Lasagne,279.0
3 Egg Broccoli and Mushroom Omlette with toast jam and butter,169.0
La Rochelle Traditional Club Sandwich with Fries,229.0
3 Egg Broccoli and Mushroom Omlette with toast jam and butter,169.0
La Rochelle Traditional Club Sandwich with Fries,229.0
Mexican Chicken Burritos,199.0
Mashed Potato,99.0
Chicken Stroganoff With Rice,259.0
"Chicken mince stuffed Chicken Steak with Pepper sauce, saute veg and potato/rice",299.0
Chicken Lasagne,279.0
Chicken Caesar Salad,199.0
Crispy Chicken Wings Sweet chili sauce,159.0
Chicken Croquettes 4 pieces,159.0
La Rochelle Crispy BBQ Chicken wings,159.0
Chicken Pepperoni Pizza,259.0
Creamy Garlic Mushroom Pasta,169.0
Chicken Lasagne,279.0
Homemade Chicken Ravioli with choice of sauce,289.0
Spaghetti Bolognese with Minced Chicken,259.0
Chocolate Mousse,129.0
Bread and Butter Pudding,129.0
Mango Milkshake with Ice Cream,110.0
