names,prices
Vegetable Tawa Biryani,199.0
Dal Makhani,169.0
Chicken Kolhapuri,279.0
Paneer Hariyali Tikka,249.0
Ginger Chicken,249.0
Peerey Kai Rava Fry,219.0
Appi Payasam,109.0
Kashmiri Pulao,189.0
Bhende Kai Pepper Fry,169.0
Dal Khichdi,169.0
Koddel,129.0
Butter Kulcha,55.0
Neer Dosa,49.0
Tomato Tulsi Ka Shorba,109.0
Veg Lemon Coriander Soup,109.0
Chicken Manchow Soup,129.0
Mutton Barley Soup,139.0
Bhende Kai Pepper Fry,169.0
Peerey Kai Rava Fry,219.0
Bonda Chicken,319.0
Pepper Chicken,239.0
Chicken Urval,239.0
Chilli Chicken Kabab,219.0
Manjal Kori Kabab,269.0
Paneer Papdi,219.0
Kaju Badam Da Hara Kabab,219.0
Chettinad Mushroom Roast,199.0
Andhra Chilli Chicken,225.0
Chettinad Chicken Roast,225.0
Bandas Pepper Fry,299.0
Yetti Masala Fry,399.0
Yetti Koliwada,399.0
Paneer Tikka,249.0
Paneer Hariyali Tikka,249.0
Tandoori Baby Corn Tikka,199.0
Murgh Tikka,259.0
Tandoori Chicken,319.0
Paneer Ghee Roast,269.0
Baby Corn Ghee Roast,219.0
Pudina Chicken,239.0
Ginger Chicken,249.0
Chicken Ghee Roast,369.0
Kori Sukka,239.0
Lamb Sukka,319.0
Paneer Butter Masala,269.0
Palak Paneer,239.0
Kadai Paneer,249.0
Vegetable Hyderabadi,218.0
Bhindi Masala,199.0
Dal Makhani,169.0
Dal Fry,149.0
Chicken Kolhapuri,279.0
Koddel,129.0
Kundapura Chicken,259.0
Roti,35.0
Butter Roti,45.0
Naan,45.0
Butter Naan,55.0
Kulcha,45.0
Butter Kulcha,55.0
Dal Khichdi,169.0
Palak Khichdi,169.0
Matar Pulao,179.0
Ghee Rice,149.0
Jeera Rice,149.0
Kashmiri Pulao,189.0
Boiled Rice,99.0
Curd Rice,109.0
Vegetable Tawa Biryani,199.0
Egg Biryani,199.0
Chicken Dum Biryani,269.0
Mutton Dum Biryani,369.0
Prawns Biryani,399.0
Kori Roti,249.0
Neer Dosa,49.0
Chicken Chilli Sauce,259.0
Egg Schezwan Fried Rice,199.0
Chicken Fried Rice,199.0
Chicken Schezwan Fried Rice,209.0
Veg Hakka Noodles,169.0
Veg Schezwan Noodles,179.0
Chicken Hakka Noodles,199.0
Appi Payasam,109.0
