names,prices
Chicken Burger Combo,179.0
Juicy Chicken Burger,119.0
Chicken Burger,99.0
Strong Cold Coffee,79.0
French Fries,69.0
Egg cheese Sandwich,89.0
Kit Kat Shake,79.0
Cheese and Butter Maggi,75.0
Peri Peri Maggi,75.0
Aloo Tikki Burger,69.0
Ice Tea,49.0
Grilled Veggies Sandwich,89.0
Chocolate Sandwich,89.0
Vegetable Club Sandwich,89.0
Masala Fries,79.0
Mighty Mango,79.0
Double Masala Maggi,55.0
Egg Cheese Toast,190.0
Masala Burger Combo,169.0
Chocolate Sandwich Combo,228.0
Egg Burger,89.0
PB Sandwich meal,170.0
French Toast Meal,170.0
Egg Cheese Toast,190.0
Aloo Tikki Burger combo,149.0
Masala Burger Combo,169.0
Chocolate Sandwich Combo,228.0
Veg Club Sandwich Combo,228.0
Chicken Burger Combo,179.0
Aloo Tikki Burger,69.0
Masala Burger,89.0
Veggie Burger,89.0
Chicken Burger,99.0
Juicy Chicken Burger,119.0
Egg Burger,89.0
Mayo Sandwich,89.0
Grilled Veggies Sandwich,89.0
Vegetable Club Sandwich,89.0
Chocolate Sandwich,89.0
Jam with Cheese Sandwich,89.0
Egg cheese Sandwich,89.0
Plain Maggi,45.0
Double Masala Maggi,55.0
Vegetable Maggi,75.0
Cheese and Butter Maggi,75.0
Egg Maggi,75.0
Schezwan Maggi,65.0
Peri Peri Maggi,75.0
French Fries,69.0
Masala Fries,79.0
Ice Tea,49.0
Cold Coffee,69.0
Strong Cold Coffee,79.0
Chocolate Cold Coffee,79.0
Strong Chocolate Cold Coffee,89.0
Oreo Original,79.0
Chocolate Soldier,79.0
Kit Kat Shake,79.0
Bourbon Shake,79.0
Mighty Mango,79.0
Sweet Strawberry,79.0
Litchi Shake,79.0
Exotic Kiwi,79.0
