names,prices
Paneer Butter Masala,180.0
Gobi Manchurian,130.0
Gudbud Ice Cream Sundae,120.0
Chana Masala,155.0
Paneer Manchurian,160.0
Kaju Masala,190.0
Baby Corn Manchurian,170.0
Mushroom Masala,180.0
Mushroom Chilly,180.0
Veg Kolhapuri,170.0
Paneer Tikka Masala,215.0
Mushroom Pepper Dry,190.0
Paneer Chilly,180.0
Dal Tadka,150.0
Dal Fry,140.0
Watermelon Juice,85.0
Veg Maharaja,230.0
Paneer Kaju Masala,230.0
Veg Pulao,70.0
Malai Kofta,200.0
Paneer 65,190.0
Fruit Salad with Vanilla Ice Cream,95.0
Baby Corn Chilly,180.0
Gobi Pepper Dry,170.0
Orange Juice,85.0
Butter Masala Dosa,85.0
Veg Hyderabadi,170.0
Paneer Palak,165.0
Paneer Kheema Dosa,100.0
Shanthi Sagar Special Dosa,120.0
Nutty Symphony Ice Cream Sundae,180.0
Brownie Break Ice Cream Sundae,180.0
Idli Vada,75.0
Veg Pulao,70.0
Paneer Kheema Dosa,100.0
Masala Dosa,65.0
Palak Paneer Masala Dosa,90.0
Paneer Masala Dosa,85.0
Paneer Onion Rava Masala,95.0
Shanthi Sagar Special Dosa,120.0
Mysore Masala Dosa,80.0
Ghee Masala Dosa,85.0
Butter Masala Dosa,85.0
Rava Dosa,70.0
Rava Masala Dosa,80.0
Onion Uthappam,80.0
Tomato Uthappam,65.0
Tomato Onion Uttapam,70.0
Plain Dosa,55.0
Butter Plain Dosa,60.0
Paper Plain Dosa,70.0
Paper Masala Dosa,85.0
Onion Rava Dosa,80.0
Set Dosa,60.0
Idli,30.0
Paneer Chilly,180.0
Paneer Manchurian,160.0
Finger Chips,110.0
Veg Manchurian,145.0
Baby Corn Manchurian,170.0
Baby Corn Chilly,180.0
Mushroom Manchurian,170.0
Mushroom Chilly,180.0
Gobi Manchurian,130.0
Gobi Chilly,145.0
Gobi Pepper Dry,170.0
Mushroom Pepper Dry,190.0
Paneer Pepper Dry,205.0
Paneer Ghee Roast,220.0
Mushroom Ghee Roast,220.0
Gobi 65,170.0
Paneer 65,190.0
Mushroom 65,180.0
Kaju Masala,190.0
Shanthi Sagar Special Curry,240.0
Paneer Tikka Masala,215.0
Paneer Kaju Masala,230.0
Stuffed Dum Aloo,180.0
Paneer Butter Masala,180.0
Veg Kolhapuri,170.0
Paneer Kolhapuri,190.0
Veg Hyderabadi,170.0
Veg Maharaja,230.0
Paneer Palak,165.0
Paneer Shahi Korma,190.0
Paneer Patiala,210.0
Veg Makhanwala,180.0
Chana Masala,155.0
Green Peas Masala,160.0
Capsicum Masala,160.0
Mushroom Masala,180.0
Malai Kofta,200.0
Veg Kofta,180.0
Paneer Pasanda,215.0
Paneer Bhurji,180.0
Dal Fry,140.0
Dal Tadka,150.0
Plain Fruit Salad,70.0
House Special Ice Cream Sundae,150.0
Nutty Symphony Ice Cream Sundae,180.0
Perfect Oreo Creation Ice Cream Sundae,150.0
Berrylicious Ice Cream Sundae,160.0
Gudbud Ice Cream Sundae,120.0
Dilkush Ice Cream Sundae,160.0
Titanic Ice Cream Sundae,190.0
Coupe Helena Ice Cream Sundae,160.0
Mocha Coffee Dream Ice Cream Sundae,180.0
Double Peanut Double Chocolate Ice Cream Sundae,160.0
Brownie Break Ice Cream Sundae,180.0
Chocolate Dad Ice Cream Sundae,160.0
Shanti Sagar Sundae,230.0
Fruit Salad Ice Cream,95.0
Fruit Salad with Vanilla Ice Cream,95.0
Fruit Salad without Ice Cream,100.0
Dry Fruits Ice Cream,140.0
Vanilla Ice Cream Shake,110.0
Strawberry Shake,120.0
Pista Shake,120.0
Mango Shake,120.0
Chocolate Shake,120.0
Rose Shake,120.0
Oreo Dip Shake,150.0
Brownie Batter Shake,160.0
Pomegranate Milkshake,110.0
Chikku Milkshake,110.0
Mango Milkshake,110.0
Musk Melon Milkshake,110.0
Orange Juice,85.0
Grape Juice,85.0
Mango Juice,95.0
Watermelon Juice,85.0
Pineapple Juice,85.0
Pomegranate Juice,95.0
Chikku Juice,85.0
Muskmelon Juice,85.0
Apple Juice,95.0
Lemon Juice,35.0
Soda Lemon Juice,48.0
Mojito,70.0
Fruit Punch Mixed Mocktail,140.0
Pink Lady,120.0
Mango Lassi,110.0
Buttermilk Lassi,50.0
Fruit Cobbler Ice Cream,130.0
Fruit and Nut Kachang Ice Cream,130.0
Choco Frappe,170.0
Vanilla Ice Cream,90.0
Strawberry Ice Cream,90.0
Chocolate Ice Cream,95.0
Chocolate Ice Cream [1 Scoop],65.0
Mango Ice Cream [1 Scoop],65.0
Rabdi Falooda,140.0
Royal Falooda,130.0
Lots of Chocolate Hot Fudge,190.0
2 Gulab Jamun,60.0
