names,prices
Choco Brownie Fudge,185.0
Chocozilla,185.0
Death By Chocolate,210.0
Mango Berry,155.0
Brownie Fudge,175.0
Choco Brownie Fudge,185.0
Chocozilla,185.0
Cookie Monster,185.0
Rocky Road,175.0
My DBC,175.0
Death By Chocolate,210.0
Mango Berry,155.0
Gudbud,165.0
Fruit Zest,175.0
Lychee Sundae,185.0
Dry Fruit Special,175.0
Banoffee Sundae,185.0
Kesar Kulfi,165.0
Butter Scotch Blast,165.0
Tiramisu,145.0
Deep Purple,155.0
Fruit Royale,145.0
Caramel-Vanilla,129.0
Alphonso Mango Sorbet,65.0
Guava Chilli Sorbet,79.0
Butterscotch,85.0
Sitaphal,95.0
