names,prices
Chicken Shawarma,120.0
Boneless Strips,150.0
Chicken Zinger Burger,160.0
Jumbo Fried Burger,180.0
Chicken Mixed Shawarma,90.0
Chicken Shawarma,120.0
Chicken Shawarma Mixed Platter,150.0
Chicken Shawarma Platter,200.0
Half Biryani+ 1 Piece Broast Fried Chicken+ Mojito,290.0
Veg Pop Rice Bowl,120.0
Crispy Chicken Rice Bowl,180.0
Chicken Pop Rice Bowl,180.0
Boneless Strips Rice Bowl,180.0
Regular Chicken Broast,99.0
Extra Spicy Chicken Broast,99.0
Hot Wings,125.0
Boneless Strips,150.0
Mini Fried Chicken,210.0
BBQ Alfaham,190.0
Chicken BBQ Hot Wings,190.0
Chicken Dum Biryani,170.0
Arabic Chicken Madhbi,310.0
BBQ Alfaham Tikka Biryani,310.0
Grill Chicken Biryani,310.0
Special Grilled Chicken,210.0
Grilled Chicken Platter,550.0
Veg Burger,100.0
Veg Patty Herbs Burger,100.0
Chicken Regular Burger,130.0
Crunchy Chicken Cheese Burger,160.0
Chicken Jumbo Burger,180.0
Crunchy Chicken Burger,130.0
Chicken Zinger Burger,160.0
Jumbo Fried Burger,180.0
Veg Special Wrap,99.0
Chicken Tacos Wrap,120.0
Royal Chicken Wrap,149.0
Chicken Popcorn,159.0
Chicken Popcorn Dynamite,169.0
Chicken Popcorn Spicy,169.0
Crispy Fries Regular,99.0
Crispy Masala Fries,109.0
Cheesy Mayo Fries,149.0
Cheesy Masala Fries,159.0
Cheesy Dynamite Fries,169.0
Chicken Nuggets [5 Picese],149.0
Chicken Crispy Roll,140.0
Mini Fried Chicken (5 Pcs),210.0
Fries Regular,99.0
Fries Spicy,109.0
Masala Fries Spicy,109.0
Veg Nuggets [5 Pieces],89.0
Veg Smiles [6 Pieces],89.0
Veg Poppers [12 Pieces],149.0
Garlic Toumb,25.0
Garlic Dip [100 ml],70.0
Dynamite Sauce,35.0
Plain Mayonnaise,25.0
Bun,15.0
Khubbus,15.0
Mango Scoop,45.0
Chocolate Scoop,45.0
Vanilla Scoop,45.0
Mint Lime Mojito,70.0
Ginger Lime Mojito,70.0
Blue Meuntain,70.0
Pineapple Crush,70.0
Green Apple Crush,70.0
Mango Mania,70.0
Pepsi [250 ml],45.0
