names,prices
Chicken Meal,160.0
Chicken Tawa Fry,150.0
Chicken Biryani,110.0
Gobhi Manchurian,120.0
Chicken Meal,160.0
Fish Meal,110.0
Gobhi Manchurian,120.0
Chilli Gobhi,120.0
Chilli Chicken,195.0
Chicken Schezwan Dry,215.0
Ginger Chicken,195.0
Dal Fry,120.0
Dal Khichdi,160.0
Chicken Biryani,110.0
Chicken Hyderabadi Biryani,220.0
Chicken Mughlai Biryani,220.0
Chicken Sukka,100.0
Chicken Tawa Fry,150.0
Gud Bad,130.0
Banana Split,145.0
Fruit Salad,90.0
Fruit Salad with Ice Cream,105.0
Vanilla Ice Cream,75.0
Butterscotch Ice Cream,85.0
