names,prices
Chicken Biryani &amp; Fried Kebab (3 Pcs),230.0
Chicken Biryani &amp; Tandoori Chicken Wings (3 Pcs),230.0
2 Chicken Biryani &amp; Chicken Chilly,350.0
Chicken Biryani &amp; Fried Kebab (3 Pcs),230.0
Chicken Biryani &amp; Tandoori Chicken Wings (3 Pcs),230.0
Chicken Biryani &amp; Chicken Lollipop (3 Pcs),230.0
Ghee Rice &amp; Chicken Tawa Masala &amp; Chicken Chilly,230.0
Chicken Biryani With Chicken Ghee Roast,230.0
Chicken Biryani With Kalmi Kebab,230.0
Chicken Biryani With Chicken Pepper Dry,230.0
2 Chicken Biryani &amp; Kebabs (4 Pcs),350.0
2 Chicken Biryani &amp; Chicken Chilly,350.0
Schezwan fried Rice &amp; Peri Peri Chicken,210.0
Chicken Chowmein With Schezwan Chicken,210.0
French Toast With Chicken Strips &amp; Herbed Potato,170.0
Paneer Paratha With Aloo Jeera &amp; Lassi,170.0
Ghee Rice &amp; Veg Tawa Masala,150.0
"Jeera Rice Served With Dal Fry, Omlette &amp; Fried Chicken",185.0
Plain Paratha With Chicken Gravy &amp; Curd,160.0
Chicken Kheema Rice &amp; Chicken Kebab,220.0
Chicken Dum Biryani,170.0
Chicken Tikka Biryani,180.0
Chicken Ghee Roast Biryani,190.0
Veg Biriyani,120.0
Paneer Tikka Biryani,150.0
Egg Biryani,110.0
Egg Ghee Roast Biryani,150.0
Cheese Spinach Kurkure,170.0
Chicken Ghee Roast,200.0
Chicken Tikka,200.0
Chicken Banjara Kabab,200.0
Tandoori Chicken,200.0
Ginger Chicken in Orange Sauce,180.0
Chilli Potato,150.0
Paneer Butter Masala,180.0
Dal Tadka,125.0
Malai Methi Matar Masala,160.0
Veg Tawa Masala,160.0
Paneer Tikka Masala,170.0
Butter Chicken,210.0
Chicken Tikka Masala,210.0
Chicken Kolhapuri,210.0
Chicken Chettinad,210.0
Chicken Tawa Masala,210.0
Plain Tandoori Roti,30.0
Butter Tandoori Roti,35.0
Plain Naan,35.0
Butter Naan,45.0
Aloo Paratha,70.0
Gobi Paratha,70.0
Paneer Paratha,70.0
Roti Basket,160.0
Mixed Fried Rice,180.0
Cheese Omelette,90.0
Spinach and Cottage Cheese Lasagne,180.0
Mince Chicken Lasagne,190.0
Jalapeno Poppers,160.0
