names,prices
Idly[2 Pieces] and Vada,50.0
Masala Dosa,50.0
Poori Bhaji [2 Pieces],45.0
Vada [2 Pieces],40.0
Banana Buns [2 Pieces],40.0
Parota (2Pc),45.0
Vegetable Samosa [2 Pieces],40.0
Spl Banana Chips (200Grams),91.0
Onion Pakoda,45.0
Set Dosa [3 Pieces],50.0
Vegetable Cutlet [2 Pieces],50.0
Onion Uttappaam,50.0
Pepper Banana Chips [200 grams],63.0
Special Appe Midi Pickle [500 grams],188.0
Spl Ghee Mysore Pak,23.0
Masala Kodubale(200grams),90.0
Daal Vada [2 Pieces],32.0
2 Chapathi With Kurma,45.0
Khushmand Halwa,125.0
Lime Juice,40.0
Wheat Halwa,115.0
Aloo bonda [2 Pieces],35.0
Sambar [400 ml],50.0
Gulab Jamoon [4 Pieces],90.0
Jack Fruit Sonte [200 grams],105.0
Baby Corn Chilli,140.0
Paneer Crispy,150.0
Boondi Ladu,10.0
Gari Ladu,16.0
Basen Ladu,16.0
Dry Fruit Mixed Dinky Ladu,16.0
Mysore Pak,11.0
Saat,11.0
Kadi [Besan Burfi],11.0
Malpuri,13.0
Jileby,11.0
Jahangeer,15.0
Spl Ghee Mysore Pak,23.0
Kaju Burfi [Kathli],23.0
Badam Burfi,16.0
Mango Burfi,16.0
Dry Fruits Mixed Pancharatna Burfi,24.0
Doodh Peda,18.0
Dharwad Peda,18.0
Dry FRuit Mixed Anjur Rolls,27.0
Wheat Halwa,115.0
Banana Halwa,115.0
Grapes Halwa,18.0
Pineapple Halwa,18.0
Khushmand Halwa,125.0
Rice Athras [10 Pieces],66.0
Kadle Bele Holige,20.0
Kai Holige,20.0
Gulab Jamoon [4 Pieces],90.0
Desi Ghee Sonpapadi,19.0
Khara Mixture [200 grams],68.0
Special Dry Fruits Mixture,103.0
Dal Mixture [200 grams],68.0
Corn Mixture [200 grams],68.0
Khara Boondi [200 grams],68.0
Khara Kaddi [200 grams],68.0
Khara Thukudi [200 grams],68.0
Sweet Thukudi [200 grams],90.0
Salt Kodubale(200grams),90.0
Masala Kodubale(200grams),90.0
Spl Banana Chips (200Grams),91.0
Pepper Banana Chips [200 grams],63.0
Sweet Potato Chips,56.0
Sweet Potato Soante,43.0
Tapioca Chips,56.0
Tapioca Sticks,56.0
Spicy Jack Fruit Sonte [200 grams],95.0
Jack Fruit Sonte [200 grams],105.0
Masala Groundnut [200 grams],68.0
Salted Ground Nut [200 grams],68.0
Plain Peanut,58.0
Kabul Chenna,113.0
Rice Chakly,40.0
Palak Chakly,38.0
Tomato Chakly,62.0
Mini Chakly,62.0
Salted Cashew Nut,275.0
Masala Cashew Nut,275.0
Nippattu,43.0
Peanut Chikki,56.0
Peanut Chikki Laddu,71.0
Rusk,50.0
Khari Biscuit,58.0
Urid Khara papad [200 grams],93.0
Sweet Potato Papad,63.0
Jackfruit Papad,104.0
Onion Sandige [200 grams],63.0
Garlic Sandige [200 grams],63.0
Desi Ghee [500 ml],310.0
Special Appe Midi Pickle [500 grams],188.0
Shivalli Brahmins Rasam Powder,63.0
Shivalli Brahmins Sambar Powder,63.0
Vada [2 Pieces],40.0
Idly[2 Pieces] and Vada,50.0
Banana Buns [2 Pieces],40.0
Poori Bhaji [2 Pieces],45.0
Poori Kurma [2 Pieces],45.0
2 Chapathi With Kurma,45.0
Parota (2Pc),45.0
Bread Masala,90.0
Vegetable Samosa [2 Pieces],40.0
Vegetable Cutlet [2 Pieces],50.0
Aloo bonda [2 Pieces],35.0
Daal Vada [2 Pieces],32.0
2 Biscuit Roti,35.0
Onion Pakoda,45.0
Mirchi Bonda [4 Pieces],35.0
Veg Sandwich,85.0
Veg Cheese Sandwich,95.0
Cheese Capsicum Onion Pizza [5 inches],160.0
Plain Dosa,45.0
Masala Dosa,50.0
Sada Dosa [2 Pieces],50.0
Set Dosa [3 Pieces],50.0
Onion Uttappaam,50.0
Mini Meal,30.0
Full Meal,80.0
Sambar [400 ml],50.0
Chutney [400 ml],50.0
Gobhi Manchurian,140.0
Baby Corn Chilli,140.0
Paneer Crispy,150.0
Veg Handi,130.0
Channa Masala,130.0
Daal Fry,110.0
Daal Tadka,120.0
Kaju Paneer Masala,190.0
Kasmiri Pulao,160.0
Roti,30.0
Pulka,20.0
Chapathi,20.0
Badam Milk,60.0
Lime Juice,40.0
Butter milk,40.0
Masala Buttermilk,50.0
