names,prices
Rich Layered Chocolate Truffle Cake - Eggless,549.0
Rich Choco Oreo Birthday Cake - Eggless,469.0
Rich Choco Oreo Birthday Cake - Egg,419.0
Classic Vanilla Celebrations Cake - Egg,349.0
Butterscotch Pastry,69.0
Regal Red Velvet Pastry,74.0
Rich Chocolate Truffle Pastry,74.0
Death By Chocolate (DBC) Jar Cake,169.0
Mango Jar Cake,139.0
Classic Black Forest Pastry,69.0
White Forest Celebrations Cake - Eggless,499.0
White Forest Celebrations Cake - Eggless,499.0
Rich Choco Oreo Birthday Cake - Eggless,469.0
Classic Black Forest Cake - Eggless,519.0
Delightful Choco Chip Cake - Eggless,579.0
Classic Vanilla Celebrations Cake - Eggless,399.0
Punchy Pineapple Cake - Eggless,499.0
Blueberry Cake - Eggless,549.0
Rich Layered Chocolate Truffle Cake - Eggless,549.0
Kitkat Gems Special Cake One Kg - Egg,879.0
Rich Choco Oreo Birthday Cake - Egg,419.0
Classic Black Forest Cake - Egg,469.0
Delightful Choco Chip Cake - Egg,579.0
Classic Vanilla Celebrations Cake - Egg,349.0
Punchy Pineapple Cake - Egg,449.0
Fresh Fruit Cake - Egg,549.0
Chocolate Gems Cake - Egg,629.0
Death By Chocolate (DBC) Cake - Egg,729.0
Kitkat Cupcake (Pack of 2),139.0
Classic Cupcake (Pack of 2),99.0
Red Velvet Cupcake (Pack of 2),139.0
Assorted Cupcake (Box of 6),299.0
Walnut Brownie,89.0
Choco Lava Cake,79.0
Regal Red Velvet Pastry,74.0
Rich Chocolate Truffle Pastry,74.0
Classic Black Forest Pastry,69.0
Gooey Truffle Brownie,89.0
Butterscotch Pastry,69.0
Pastry - Pack of Any Two Flavors,109.0
Black Forest Jar Cake,139.0
Blueberry Jar Cake,149.0
Pineapple Jar Cake,139.0
Strawberry Jar Cake,139.0
Mango Jar Cake,139.0
Chocolate Chip Jar Cake,149.0
Creamy Chocolate Jar Cake,149.0
Chocolate Truffle Jar Cake,139.0
Death By Chocolate (DBC) Jar Cake,169.0
Red Velvet Jar Cake,139.0
Chocolate Oreo Jar Cake,159.0
Rich Chocolate Truffle Mini Cake,299.0
Chocolate Truffle Sundae,169.0
Chocolate Titanic Sundae,169.0
Red Velvet Sundae,169.0
Red velvet Shot Box of 5,129.0
Assorted Chocolates Box of 5,109.0
Assorted Chocolate Box of 12,249.0
Red Velvet Thick Shake,179.0
Chocolate Truffle Thick Shake,169.0
Death By Chocolate Thick Shake,169.0
