names,links
Drips Bakery and Cakes,https://www.zomato.com/manipal/drips-bakery-and-cakes-vidyaratna-nagar/order
McDonald's,https://www.zomato.com/manipal/mcdonalds-eshwar-nagar/order
7th Heaven - A Slice of Happiness,https://www.zomato.com/manipal/7th-heaven-a-slice-of-happiness-maruthi-veethika-udupi/order
Domino's Pizza,https://www.zomato.com/manipal/dominos-pizza-vidyaratna-nagar/order
Cloud Nine,https://www.zomato.com/manipal/cloud-nine-vidyaratna-nagar/order
Hadiqa,https://www.zomato.com/manipal/hadiqa-eshwar-nagar/order
Foodezze Cafe Grills And Subs,https://www.zomato.com/manipal/foodezze-cafe-grills-and-subs-vidyaratna-nagar/order
Arabian Tasty,https://www.zomato.com/manipal/arabian-tasty-vidyaratna-nagar/order
Mehak E Punjab,https://www.zomato.com/manipal/mehak-e-punjab-eshwar-nagar/order
Subway,https://www.zomato.com/manipal/subway-eshwar-nagar/order
Dollops,https://www.zomato.com/manipal/dollops-eshwar-nagar/order
Madhuvan Veg,https://www.zomato.com/manipal/madhuvan-veg-eshwar-nagar/order
Cafe Boda Sheera,https://www.zomato.com/manipal/cafe-boda-sheera-eshwar-nagar/order
G2 Ginger Garlic,https://www.zomato.com/manipal/g2-ginger-garlic-vidyaratna-nagar/order
Hot 'n' Spicy,https://www.zomato.com/manipal/hot-n-spicy-vidyaratna-nagar/order
Manna Rolls,https://www.zomato.com/manipal/manna-rolls-vidyaratna-nagar/order
Pai Tiffins,https://www.zomato.com/manipal/pai-tiffins-5-eshwar-nagar/order
KFC,https://www.zomato.com/manipal/kfc-vidyaratna-nagar/order
Food Chemist,https://www.zomato.com/manipal/food-chemist-1-vidyaratna-nagar/order
Shawarma Broast,https://www.zomato.com/manipal/shawarma-broast-maruthi-veethika-udupi/order
Snack Shack,https://www.zomato.com/manipal/snack-shack-tiger-circle/order
Manipal Express,https://www.zomato.com/manipal/manipal-express-1-eshwar-nagar/order
Pizza Hut,https://www.zomato.com/manipal/pizza-hut-eshwar-nagar/order
Polar Bear,https://www.zomato.com/manipal/polar-bear-1-vidyaratna-nagar/order
New Tiwari Chat,https://www.zomato.com/manipal/new-tiwari-chat-eshwar-nagar/order
Crave Desserts &amp; Bakes,https://www.zomato.com/manipal/crave-desserts-bakes-vidyaratna-nagar/order
UTSAAV - Om Sweets and Savouries,https://www.zomato.com/manipal/utsaav-om-sweets-and-savouries-maruthi-veethika-udupi/order
Friendly Fried Chicken,https://www.zomato.com/manipal/friendly-fried-chicken-kunjibettu-udupi/order
Teapot Cafe,https://www.zomato.com/manipal/teapot-cafe-vidyaratna-nagar/order
The Belgian Waffle Co.,https://www.zomato.com/manipal/the-belgian-waffle-co-tiger-circle/order
Bacchus Inn,https://www.zomato.com/manipal/bacchus-inn-vidyaratna-nagar/order
Zebra Spot Restaurant,https://www.zomato.com/manipal/zebra-spot-restaurant-eshwar-nagar/order
Natural Ice Cream,https://www.zomato.com/manipal/natural-ice-cream-vidyaratna-nagar/order
Red Kitchen,https://www.zomato.com/manipal/red-kitchen-eshwar-nagar/order
Anupam Restaurant,https://www.zomato.com/manipal/anupam-restaurant-tiger-circle/order
A Cafe Story,https://www.zomato.com/manipal/a-cafe-story-vidyaratna-nagar/order
WarmOven Cake &amp; Desserts,https://www.zomato.com/manipal/warmoven-cake-desserts-kunjibettu-udupi/order
Kathi Junction,https://www.zomato.com/manipal/kathi-junction-tiger-circle/order
Indiana Burgers,https://www.zomato.com/manipal/indiana-burgers-kunjibettu-udupi/order
Country Inn - Mosaic,https://www.zomato.com/manipal/country-inn-mosaic-vidyaratna-nagar/order
Burger It Up,https://www.zomato.com/manipal/burger-it-up-kunjibettu-udupi/order
Udupi Sweet House &amp; Udupi Darshini,https://www.zomato.com/manipal/udupi-sweet-house-udupi-darshini-maruthi-veethika-udupi/order
UBQ By Barbeque Nation,https://www.zomato.com/manipal/ubq-by-barbeque-nation-vidyaratna-nagar/order
Odeya Restaurant,https://www.zomato.com/manipal/odeya-restaurant-brahmagiri-udupi/order
Vito's Pizzeria &amp; Cafe,https://www.zomato.com/manipal/vitos-pizzeria-cafe-tiger-circle/order
Kediyoor's Pizza,https://www.zomato.com/manipal/kediyoors-pizza-kidiyoor-udupi/order
Kaati Zone Rolls And Wraps,https://www.zomato.com/manipal/kaati-zone-rolls-and-wraps-kunjibettu-udupi/order
Cupcake Bliss Cakes &amp; Desserts,https://www.zomato.com/manipal/cupcake-bliss-cakes-desserts-kunjibettu-udupi/order
Arabian Knights,https://www.zomato.com/manipal/arabian-knights-vidyaratna-nagar/order
Spice 'n' Ice,https://www.zomato.com/manipal/spice-n-ice-vidyaratna-nagar/order
Hakuna Matata,https://www.zomato.com/manipal/hakuna-matata-eshwar-nagar/order
Frozen Bottle,https://www.zomato.com/manipal/frozen-bottle-eshwar-nagar/order
Kwality Wall's Frozen Dessert And Ice Cream Shop,https://www.zomato.com/manipal/kwality-walls-frozen-dessert-and-ice-cream-shop-1-kunjibettu-udupi/order
Hashtag,https://www.zomato.com/manipal/hashtag-vidyaratna-nagar/order
Dolce Desserts,https://www.zomato.com/manipal/dolce-desserts-tiger-circle/order
New Shanthi Sagar,https://www.zomato.com/manipal/new-shanthi-sagar-brahmagiri-udupi/order
