names,prices
Masala Dosa,55.0
2 Sada Dosa,45.0
3 Puri with Bhaji,55.0
Tea,20.0
Neer Dosa,45.0
2 Buns with Kurma,42.0
3 Puri with Kurma,55.0
Plain Dosa,45.0
Butter Masala Dosa,75.0
Paper Masala Dosa,85.0
Upma Avalakki,45.0
Rava Masala Dosa,65.0
Sheera,42.0
2 Parotta with Kurma,55.0
Paper Plain Dosa,75.0
Onion Uttapam,60.0
2 Buns with Kurma,42.0
3 Puri with Bhaji,55.0
3 Puri with Kurma,55.0
2 Parotta with Kurma,55.0
Avalakki,35.0
Upma Avalakki,45.0
Neer Dosa,45.0
2 Sada Dosa,45.0
2 Butter Dosa,65.0
Thuppa Dosa,55.0
Plain Dosa,45.0
Butter Plain Dosa,65.0
Masala Dosa,55.0
Butter Masala Dosa,75.0
Onion Uttapam,60.0
Rava Dosa,55.0
Rava Masala Dosa,65.0
Onion Rava Dosa,65.0
Onion Rava Masala Dosa,75.0
Paper Plain Dosa,75.0
Paper Masala Dosa,85.0
Sheera,42.0
Tea,20.0
Coffee,22.0
Milk,20.0
Malt,22.0
Bournvita,40.0
Horlicks,40.0
Badam Milk,35.0
Nescafe,35.0
Kashaya,30.0
Orange Juice,55.0
Pineapple Juice,55.0
Watermelon Juice,55.0
Lemon Juice,30.0
Fresh Lemon Soda,40.0
Apple Milkshake,70.0
Cold Horlicks,70.0
Cold Coffee,70.0
Cold Badam Milk,70.0
Lassi,55.0
Buttermilk,30.0
