names,prices
Buy Four &amp; Get Two Free Assorted Cupcakes,259.0
Chocolate Chip Jar Cake,149.0
Choco Lava Cake,79.0
Walnut Brownie,89.0
Red Velvet Cake (250 gms),289.0
Choco Lava Cake,79.0
Walnut Brownie,89.0
Classic Black Forest Cake - Eggless,519.0
Layered Chocolate Truffle Cake - Eggless,579.0
Layered Chocolate Truffle Cake - Egg,519.0
Classic Black Forest Cake - Egg,469.0
Pineapple Cake - Egg,449.0
Naked Red Velvet Heart Cake - Egg,519.0
Chocolate Cupcakes,104.0
Vanilla Cupcakes,104.0
Kit Kat Cupcakes,144.0
Red Velvet Cupcakes,144.0
Assorted Cupcakes Pack Of Two,104.0
Buy Four &amp; Get Two Free Assorted Cupcakes,259.0
Buy Eight &amp; Get Four Free Assorted Cupcakes,409.0
Assorted Cupcakes Pack Of Six,304.0
Shake with Cupcakes,259.0
All Things Jar (200 ml),459.0
Black Forest Jar Cake,139.0
Strawberry Jar Cake,139.0
Chocolate Chip Jar Cake,149.0
Creamy Chocolate Jar Cake,149.0
Chocolate Truffle Jar Cake,149.0
Red Velvet Jar Cake,149.0
Death By Chocolate Jar Cake,179.0
Chocolate Truffle Sundae,179.0
Red Velvet Sundae,199.0
