names,prices
Chicken Kebab,143.0
Prawns Tava Fry,195.0
Boiled Rice,52.0
Boil Rice Meal + [2 Piece] Chicken Kabab,90.0
Anjal Tava Fry,182.0
Bangude Puli Munchi,78.0
Ghee Roast Prawns,221.0
Chicken Sukka,130.0
White Rice meal + [2 Piece] Chicken Kabab,90.0
Anjal Masala Fry,195.0
Chicken Biriyani,182.0
Disco Tava Fry,60.0
Bangude Tava Fry,65.0
Bangude Rava Fry,65.0
Chicken Lollipop,208.0
Disco Rava Fry,65.0
Dal Fry,65.0
Anjal Rava Fry,182.0
Kundapura Sukka,130.0
Gobi Manchurian,91.0
Gobi Chilly,91.0
White Rice meal + [2 Piece] Chicken Kabab,90.0
Boil Rice Meal + [2 Piece] Chicken Kabab,90.0
Gobi Chilly,91.0
Gobi Manchurian,91.0
Chicken Sukka,130.0
Kundapura Sukka,130.0
Chicken Lollipop,208.0
Chicken Upkoli,221.0
Chicken Kori Roti,143.0
Chicken Kebab,143.0
Chicken Chilly,169.0
Anjal Tava Fry,182.0
Anjal Rava Fry,182.0
Anjal Masala,195.0
Anjal Puli Munchi,195.0
Anjal Masala Fry,195.0
Ghee Roast Anjal,208.0
Bangude Tava Fry,65.0
Bangude Rava Fry,65.0
Bangude Deep Fry,65.0
Bangude Masala,78.0
Bangude Puli Munchi,78.0
Bangude Masala Fry,78.0
Disco Tava Fry,60.0
Disco Rava Fry,65.0
Muru Meen Rava Fry,78.0
Muru Meen Masala,91.0
Thorake Masala,169.0
Prawns Tava Fry,195.0
Prawns Rava Fry,195.0
Prawns Masala,208.0
Ghee Roast Prawns,221.0
Bondas Rava Fry,143.0
Bondas Deep Fry,143.0
Bondas Masala,156.0
Bondas Puli Munchi,156.0
Ghee Roast Bondas,169.0
Silver Fish Rava Fry,143.0
Silver Fish Masala Fry,130.0
Dal Fry,65.0
Dal Tadka,91.0
Tomato Masala,65.0
Egg Masala,78.0
Egg Bhurji,65.0
2 Parotta,39.0
2 Chapati,26.0
Ghee Rice,104.0
Curd Rice,78.0
White Rice,52.0
Boiled Rice,52.0
Veg Biriyani,104.0
Chicken Biriyani,182.0
Fish Biriyani,260.0
Chicken Fried Rice,143.0
3 Neer Dosa,40.0
Egg Omelette,65.0
Butter Milk,26.0
