names,prices
Donut Box [6 Pieces],200.0
Red Velvet Fresh Cream Cake,350.0
Pineapple Fresh Cream Cake,300.0
Tiramisu Cake,400.0
Butterscotch Fresh Cream Cake,350.0
Choco Butterscotch Fresh Cream Cake,350.0
Black Forest Fresh Cream Cake,300.0
White Forest Fresh Cream Cake,300.0
Choco Lava Cup,50.0
Chocolate Filling Donut,40.0
Mini Chocolate Muffin,25.0
Choclate Lolypop,25.0
Chocolate Donut,30.0
Black Forest Pastry,60.0
Chocolate Cupcake,50.0
Strawberry Lolypop,25.0
Tiramisu Mousse,50.0
Walnut Brownie,50.0
Chocolate Brownie,45.0
Kaju Toast,45.0
Mini Fruit Muffin,20.0
Paneer Foccacia,40.0
Paneer Tikka Roll,30.0
Vanilla Fresh Cream Cake,300.0
Pineapple Fresh Cream Cake,300.0
Strawberry Fresh Cream Cake,300.0
Mango Fresh Cream Cake,300.0
Blueberry Fresh Cream Cake,300.0
Blackcurrant Fresh Cream Cake,300.0
Butterscotch Fresh Cream Cake,350.0
Vanilla Chips Fresh Cream Cake,300.0
White Forest Fresh Cream Cake,300.0
Black Forest Fresh Cream Cake,300.0
Choco Vanilla Fresh Cream Cake,350.0
Mixed Fruit and Topping Fresh Cream Cake,350.0
Dipped Choco Fresh Cream Cake,350.0
German Black Forest Fresh Cream Cake,350.0
Choco Chips Fresh Cream Cake,350.0
Choco Butterscotch Fresh Cream Cake,350.0
Dutch Truffle Fresh Cream Cake,350.0
Italian Cassata Fresh Cream Cake,350.0
Butterscotch Caramel Fresh Cream Cake,350.0
Honey Almond Fresh Cream Cake,350.0
Chocolate Delight Fresh Cream Cake,350.0
Marble Choco Chips Fresh Cream Cake,350.0
Chocolate Mousse Fresh Cream Cake,350.0
Chocolate Crunch Fresh Cream Cake,350.0
Red Velvet Fresh Cream Cake,350.0
Chocolate Hazelnut Cake,400.0
Death By Chocolate Cake,400.0
Blueberry Mousse Cake,375.0
Death By Chocolate with Roasted Almonds Cake,450.0
Choco Almond Cake,400.0
Drips Special Cake,400.0
Tiramisu Cake,400.0
Belgium Chocolate Cake,450.0
Ferraro Rocher Cake,450.0
Choco Magic Fresh Cream Cake,350.0
Oreo Fresh Cream Cake,350.0
Strawberry Lolypop,25.0
Choclate Lolypop,25.0
Brownie Box [6 Pieces],350.0
Donut Box [6 Pieces],200.0
Cookie Combo,175.0
Almond Star (180 gms),50.0
Choco Vanilla (180 gms),55.0
Butterscotch Cookies (180 gms),55.0
Butter Nankhatai (180 gms),60.0
Choco Dip Cookies (180 gms),60.0
Karachi Fruit Cookies (180 gms),60.0
Chocolate Butter Cookies (180 gms),60.0
Melting Moments (180 gms),80.0
Pure Coconut (180 gms),60.0
Kaju Macaroons (180 gms),65.0
Dark Choco Chips (180 gms),65.0
Red Velvet Cookies (180 gms),65.0
Marble Choco Cookies (180 gms),65.0
Drips Special Cookies(180 gms),70.0
Kaju Nankhatai (180 gms),75.0
Shrewsberry Cookies(180gm),75.0
Jumbo Baked Vada Pav,20.0
Paneer Foccacia,40.0
Veg Foccacia,35.0
Tandoori Paneer Cheese Baked Roll,35.0
Paneer Tikka Roll,30.0
Veg Roll,25.0
Kaju Toast,45.0
Brown Bread,35.0
Milk Bread,35.0
Plain Khari,40.0
Brownie Spot,70.0
Walnut Brownie,50.0
Chocolate Brownie,45.0
Black Forest Pastry,60.0
Kit Kat Pastry,65.0
Red Velvet Pastry,70.0
Butterscotch Caramel Pastry,65.0
Pineapple Pastry,65.0
Death by Chocolate with Roasted Almond,75.0
Mini Fruit Muffin,20.0
Mini Chocolate Muffin,25.0
Mini Red Velvet Muffin,30.0
Blueberry Mousse,40.0
Strawberry Mousse,40.0
Mango Mousse,40.0
Oreo Mousse,50.0
Tiramisu Mousse,50.0
Rich Chocolate Mousse,50.0
Red Velvet Cheese Cake,70.0
Blueberry Cheese Cake,70.0
Choco Lava Cup,50.0
Strawberry Cupcake,50.0
Red Velvet Cupcake,50.0
Blueberry Cupcake,50.0
Vanilla Cupcake,40.0
Chocolate Cupcake,50.0
Choco Rum Ball,25.0
Chocolate Donut,30.0
Caramel Donut,30.0
Chocolate Filling Donut,40.0
Drips Special Shake,100.0
Belgium Choclate Shake,90.0
Snickers Shake,80.0
Kit Kat Shake,80.0
Oreo Shake,80.0
Black Currant Shake,70.0
Strawberry Shake,80.0
Vanilla Shake,60.0
Mango Shake,80.0
Litchi Mojito,60.0
Blue Mint Mojito,65.0
Virgin Mojito,65.0
