names,prices
Combo Meal 1,229.0
Combo Meal 2 For Person,429.0
Combo Rice Meals,189.0
California Veggie Sub,149.0
Indiana Cheese [Paneer] Sub,169.0
Boston Schezwan Chicken Sub,179.0
Hawaii Egg And Ham Sub,179.0
Louisiana Ham &amp; Salami (Chicken) Sub,179.0
Miami BBQ Chicken Sub,179.0
Missouri Chipotle Chicken Sub,179.0
New Mexico Chicken Sub,179.0
New York Chicken Salami Sub,179.0
Philadelphia Chicken Sub,179.0
Virginia Chicken Ham Sub,179.0
California Veggie Wrap,149.0
Indiana Cheese [ Paneer ] Wrap,169.0
Arizona Peri Peri Chicken Wrap,179.0
Kentucky Chicken Wrap,179.0
New Mexico Chicken Wrap,179.0
Philadeiphia Chicken Wrap,179.0
Texas Maui Chicken Wings,179.0
Texas BBQ Chicken Wings,179.0
Texas Original Chicken Wings,179.0
Texas Peri Peri Chicken Wings,179.0
Kentucky BBQ Chicken Bites,169.0
Kentucky Original Chicken Bites,169.0
Kentucky Schezwan Chicken Bites,169.0
Kentucky Spicy Chicken Bites,169.0
Philly Barbeque Fries,149.0
Philly Cheesy Fries,149.0
Philly French Fries,69.0
Philly Nacho Fries,99.0
Philly Peri Peri Fries,139.0
Philly Chicken Chipotle Fries,159.0
Philly Chicken Jalapeno Fries,144.0
Fresno Green Salad,179.0
Kentucky Chicken Salad,229.0
Maine Grilled Chicken Salad,229.0
Make Your Own Non Veg Salad,229.0
Make Your Own Veg Salad,179.0
Make Your Own Non-veg Subs Wraps,179.0
Vista Veg Rice Bowl,79.0
Houston Schezwan Rice Bowl,149.0
Mississippi Chicken Rice Bowl,139.0
Lychee Lemonade,72.0
Mojito Lemonade,72.0
Alphanso Mango Milkshake,118.0
Arabian Dates Milkshake,118.0
Roseville Milkshake,118.0
"Pacific Steam Chicken Momo""s",109.0
