names,prices
Red Riding Hood Dessert,256.18
Nutty Choco Jumbo Dessert,265.7
Melting Pot Dessert,256.18
Dark temptation Sundae,199.04
Hot Chocolate Fudge Sundae,199.04
Red Riding Hood Dessert,256.18
Nutty Choco Jumbo Dessert,265.7
Melting Pot Dessert,256.18
Dark temptation Sundae,199.04
The Rainbow Sundae,199.04
Hot Chocolate Fudge Sundae,199.04
Nutty Chocolate Thick shake,246.66
Ferroro Rocher Thick shake,332.37
Kitkat Oreo Thick shake,218.08
Belgian Dark Chocolate Thick shake,332.56
Oreo Cheesecake Brownie Thick shake,227.61
Filter Kaapi Milk shake,189.51
Berry Blast Milk shake,218.08
Good Ol Vanilla Milk shake,218.08
Black Forest Thick shake,246.66
Chocolate Hazelnut Brownie Thick shake 500 ML,313.32
Red Velvet Thick shake,218.08
Peanut Butter Brownie Shake,218.09
Mango Milk shake,218.56
Persian Thick Shake,237.13
Mixed Berry Banana Smoothie,218.09
Choco Peanut Butter Banana Smoothie,218.09
Nutty Vanilla- Sugar Free Milk shake,246.66
Alphonso Mango Ice Cream,122.85
Chickoo Ice Cream,122.85
Creamy Vanilla Ice Cream,122.85
Caramel Nuts Ice Cream,132.37
Belgian Chocolate Ice Cream,132.56
Sugar Free Vanilla Ice Cream,132.56
Red Melon Tail,122.85
Summer Daze,122.85
Peach Me,132.37
Skinny Dip,132.37
Brownie Overdose Stone Dessert,227.61
Death By Chocolate Sundae,227.61
Choco Ferroro Rocher Stone Dessert,265.71
