names,prices
Chicken Penne Alfredo with Cilantro Pesto,200.0
Grilled Chicken,250.0
Bombay Style Sandwich,140.0
Breakfast Sub,140.0
Veg Penne Alfredo with Cilantro Pesto,160.0
CSCB Pizza,210.0
Chicken Musty Mushroom,200.0
Chicken Stroganoff,200.0
Tandoori Chicken Sandwich,170.0
Spaghetti Chicken Agio Olio,210.0
CSO Pizza,210.0
Chicken with Egg Musty Mushroom,210.0
3 Cheese Omelette,140.0
Chicken Malabar Biryani,170.0
Veg Musty Mushroom,160.0
Veg Desi Penne Pasta,160.0
Southwestern Omelette,150.0
Cheese Cake [Wedge],137.0
Chicken Supreme Pizza,240.0
Masala Omelette,110.0
RCK Pizza,210.0
TO Pizza,210.0
Chicken Salsa Penne Pasta,200.0
Chicken Desi Penne Pasta,200.0
Chicken Penne Pasta with Basil Pesto,200.0
Spaghetti Veg Agio Olio,190.0
Paneer Tikka Pizza,190.0
3CM Pizza,180.0
Chicken with Egg Desi Shakashuka,170.0
Chicken Tikka Sandwich,170.0
CIPA Pizza,170.0
Ultimate Veggies Omelette,150.0
Classic Veggie Burger,120.0
Bombay Style Sandwich,140.0
Paneer Tikka Burger,140.0
Keshto,80.0
Bread Masala,80.0
Bun Masala,80.0
Bulls Eye,80.0
Classic French Toast,120.0
French Toast Stuffed with Cream Cheese,140.0
French Toast Stuffed with Peanut Butter,150.0
Bun Omelette,80.0
Spicy Egg Burjee,80.0
Scrambled Eggs,80.0
Kejriwal,80.0
Creamy Scrambled Eggs with Spinach,120.0
Anda Paratha,100.0
Chicken Tikka Sandwich,170.0
Curried Chicken Sandwich,170.0
Breakfast Sub,140.0
Tandoori Chicken Sandwich,170.0
Thyme Roasted Chicken Sandwich,170.0
Grilled Crusty Chicken Burger,180.0
Tex Mex Habanero Chicken Burger,180.0
Chicken Sausage and Bacon Combo [1 Piece],60.0
Green Salad,50.0
Caesars Veg Salad,120.0
Caesars Chicken Salad,140.0
Fresh Tomato Bruschetta,70.0
Mushroom Aglio Olio,180.0
Chicken Crostini,130.0
Chicken Aglio Olio,180.0
Veg Penne Arabiata,160.0
Spaghetti Veg Agio Olio,190.0
Grilled Sausage with BBQ Sauce,210.0
Chicken Penne Arabiata,200.0
Spaghetti Chicken Agio Olio,210.0
Chicken Lasagne,250.0
Grilled Chicken,250.0
Grilled Fish,300.0
Veg Fried Rice,80.0
1C Pizza,150.0
COMO Pizza,170.0
POCO Pizza,170.0
PCP Pizza,170.0
CIPA Pizza,170.0
CIOTO Pizza,170.0
SOM Pizza,170.0
BCMO Pizza,170.0
3CM Pizza,180.0
SUCS Pizza,210.0
TO Pizza,210.0
CSO Pizza,210.0
RCK Pizza,210.0
CMPI Pizza,210.0
CPT Pizza,210.0
TCS Pizza,210.0
CSCB Pizza,210.0
CKCO Pizza,210.0
Paneer Tikka Pizza,190.0
Green Mexican Pizza,190.0
Chicken Supreme Pizza,240.0
Veg Wrap,120.0
Veg Desi Goreng,120.0
Paneer Bell Pepper Biryani,150.0
Veg Malabar Roast Curry,150.0
Veg Khow Suey,150.0
Veg Nasi Lemak,150.0
Veg Thai Green Curry,150.0
Veg Stroganoff,150.0
Veg Spicy Biryani,150.0
Veg Penne Pasta with Spinach and Mushroom,160.0
Veg Salsa Penne Pasta,160.0
Veg Pasta Primavera,160.0
Veg Pesto Pasta,160.0
Veg Penne Alfredo with Cilantro Pesto,160.0
Veg Penne Pasta with Basil Pesto,160.0
Veg Desi Penne Pasta,160.0
Veg Musty Mushroom,160.0
Veg Spaghetti with Fresh Mozzarella,180.0
Egg Wrap,140.0
Egg Wrap Noodle,140.0
Egg Desi Shakashuka,150.0
Egg Desi Goreng,140.0
Egg Malabar Biryani,160.0
Egg Stroganoff,170.0
Egg Penne Pasta with Spinach and Mushroom,180.0
Egg Salsa Penne Pasta,180.0
Egg Pesto Pasta,180.0
Egg Penne Alfredo with Cilantro Pesto,180.0
Egg Penne Pasta with Basil Pesto,180.0
Egg Musty Mushroom,180.0
Egg Spaghetti with Fresh Mozzarella,200.0
Chicken Wrap,160.0
Chicken Desi Goreng,160.0
Chicken Malabar Biryani,170.0
Chicken Khow Suey,200.0
Chicken Nasi Lemak,200.0
Chicken Thai Green Curry,200.0
Chicken Stroganoff,200.0
Chicken Spicy Biryani,200.0
Chicken Penne Pasta with Spinach and Mushroom,200.0
Chicken Salsa Penne Pasta,200.0
Chicken Pesto Pasta,200.0
Chicken Penne Alfredo with Cilantro Pesto,200.0
Chicken Penne Pasta with Basil Pesto,200.0
Chicken Desi Penne Pasta,200.0
Chicken Musty Mushroom,200.0
