names,prices
Butter Naan+Buttter Chicken+Fresh Lime,160.0
Fried Chicken Burger,95.0
Grilled Chicken Burger,90.0
Grilled Chicken Sandwich,90.0
Aloo Paratha,50.0
Butter Roti,25.0
Chicken Lollipop,150.0
Malai Kebab,170.0
Chicken Kebab,150.0
Chicken Lollipop,150.0
Drumstick Chicken,170.0
Paneer Chilli,140.0
Paneer Manchurian,140.0
Mushroom Chilli,140.0
Gobi Chilli,110.0
Gobi Manchurian,110.0
Paneer 65,140.0
Mushroom Achari Kebab,120.0
Paneer Tikka,140.0
Chicken Chilli,150.0
Chicken Garlic,150.0
Chicken Hunan,150.0
Chicken 65,150.0
Chicken Pepper Fry,150.0
Andhra Chilli,150.0
Honey Chilli Chicken,150.0
Lemon Chicken Dry,150.0
Chicken Tikka,150.0
Dal Tadka,110.0
Veg Kolhapuri,110.0
Paneer Butter Masala,130.0
Paneer Tikka Masala,130.0
Paneer Ghee Roast,150.0
Egg Masala,100.0
Chicken Kadai,160.0
Chicken Kolhapuri,160.0
Chicekn Butter Masala,165.0
Chicken Tikka Masala,165.0
Chicken Masala,160.0
Paneer Biryani,160.0
Egg Biryani,120.0
Tandoori Biryani,180.0
Kebab Biryani,180.0
Chicken Biryani,170.0
Chicken Hyderabadi Biryani,180.0
Chicken Tikka Biryani,180.0
Curd Rice,100.0
Dal Khichdi,120.0
Keema Rice,150.0
Veg Fried Rice+Paneer Chilly+Fresh Lime,170.0
Veg Noodles+Gobi Manchurian+Fresh Lime,170.0
Veg Special Burger+Wedges+Oreo Shake,170.0
Paneer Tikka+Butter Naan+Fresh Lime,170.0
Shawarma+French Fries+Fresh Lime,170.0
Chicken Burger+French Fries+Fresh Lime,170.0
Chicken Biryani+Chicken Kebab+Fresh Lime,170.0
Chicken Chilly+Egg Fried Rice+Fresh Lime,170.0
Butter Naan+Buttter Chicken+Fresh Lime,160.0
Ghee RIce+Dal Fry+Chicken Kebab,160.0
Shawarma+Chicken Tikka+Fresh Lime,160.0
Paneer Tikka Masala+4 Butter Roti+Steamed Rice,290.0
2 Chicken Biryani,340.0
Paneer Biryani+Paneer 65(Dry),300.0
2 Grilled Chicken Burger+Chicken Tikka Sandwich,270.0
3 Chicken Shawarma,210.0
2 Chicken Roll+1 Veg Roll,200.0
Veg Fried Rice,110.0
Veg Hongkong Fried Rice,150.0
Egg Fried Rice,110.0
Egg Schezwan Fried Rice,120.0
Chicken Fried Rice,120.0
Chicken Schezwan Fried Rice,130.0
Chicken Triple Schezwan Fried Rice,160.0
Veg Schezwan Noodles,120.0
Egg Noodles,110.0
Chicken Noodles,120.0
Chicken Schezwan Noodles,130.0
Chicken Hongkong Noodles,160.0
Chicken Mixed Noodles,140.0
Chicken Chilly Noodles,160.0
Aloo Tikka Burger,70.0
Veg Burger,70.0
Paneer Burger,90.0
Egg Cheese Burger,75.0
Grilled Chicken Burger,90.0
Chicken Stuffed Burger,90.0
Fried Chicken Burger,95.0
Spicy Kebab Burger,95.0
Hot and Spicy Special Burger,95.0
Chicken Tikka Burger,95.0
A J Special Burger,165.0
Veg Special Sandwich,90.0
Cheese Sandwich,45.0
Paneer Spicy Sandwich,85.0
Egg Sandwich,55.0
Chicken Tikka Sandwich,90.0
Chicken Sausage Sandwich,90.0
Chicken Kebab Sandwich,90.0
Fried Chicken Sandwich,90.0
Grilled Chicken Sandwich,90.0
Veg Roll,60.0
Veg Mixed Roll,70.0
Chicken Roll,70.0
Spicy Chicken Roll,80.0
Chicken Shawarma,70.0
Only Meat Shawarma,100.0
Plate Shawarma,110.0
Only Meat Plate Shawarma,140.0
French Fries,85.0
Wedges,85.0
Hash Brown,85.0
Fry Basket,90.0
Dinabite,90.0
Chicken Fingers [7 Pieces],120.0
Chicken Nuggets [10 Pieces],120.0
Chicken Mixed Fries [8 Pieces],130.0
Gadbad Scoopie Ice Cream,99.0
Banana Shake,70.0
Chikoo Shake,70.0
Strawberry Shake,70.0
Cappuccino Shake,70.0
Chocolate Delight Shake,70.0
Date Shake,70.0
Oreo Shake,70.0
Cold Chocolate,60.0
Lime Juice,30.0
Lime Mint,30.0
Lime Ginger,30.0
Sweet Lassi,30.0
Mosambi Juice,60.0
Orange Juice,60.0
Watermelon Juice,60.0
Pineapple Juice,60.0
Roti,20.0
Butter Roti,25.0
Kulcha,25.0
Butter Kulcha,28.0
Naan,25.0
Butter Naan,28.0
Laccha Paratha,40.0
Aloo Paratha,50.0
Chicken Manchow Soup,90.0
Chicken Hot N Sour Soup,90.0
