names,prices
Chicken Biryani,170.0
Mutton Biryani,260.0
Chicken Masala,180.0
North Indian Combo,259.0
Paneer Butter Masala,170.0
Gudbad,120.0
Veg Biryani,150.0
Egg Biryani,140.0
South Indian Combo,199.0
Veg Schezwan Fried Rice,150.0
Chicken Tikka Biryani,260.0
Chicken Navabi Biryani,240.0
Chinese Combo,239.0
Butter Chicken,230.0
Chicken Hyderabadi Biryani,220.0
Mushroom Masala,180.0
Chicken Schezwan Fried Rice,180.0
Casatta,70.0
Chinese Combo,239.0
South Indian Combo,199.0
North Indian Combo,259.0
Chicken Manchow Soup,99.0
Chicken and Hot Sour Soup,99.0
Mutton Manchow Soup,110.0
Paneer Butter Masala,170.0
Paneer Kolhapuri,170.0
Palak Paneer,170.0
Veg Kolhapuri,160.0
Mushroom Masala,180.0
Butter Chicken,230.0
Chicken Tikka Masala,250.0
Chicken Kolhapuri,200.0
Chicken Hyderabadi,200.0
Chicken Masala,180.0
Chicken Nawabi,260.0
Mutton Masala,280.0
Curd Rice,100.0
Veg Biryani,150.0
Egg Biryani,140.0
Chicken Biryani,170.0
Chicken Hyderabadi Biryani,220.0
Chicken Navabi Biryani,240.0
Chicken Tikka Biryani,260.0
Mutton Biryani,260.0
Veg Fried Rice,140.0
Veg Schezwan Fried Rice,150.0
Egg Fried Rice,130.0
Chicken Fried Rice,170.0
Chicken Schezwan Fried Rice,180.0
Veg Hakka Noodles,150.0
Chicken Hakka Noodles,180.0
Casatta,70.0
Gudbad,120.0
Fruit Salad with Ice Cream,120.0
