names,prices
Shawarma,105.0
Chicken Fried Rice,220.0
Plate Shawarma,145.0
Chicken Triple Fried Rice,270.0
Chicken Schezwan Noodles,220.0
Meat Plate Shawarma,185.0
Egg Fried Rice,210.0
Veg Manchurian Fried Rice,250.0
Chicken Hong Kong Noodles,220.0
Chicken Manchurian Fried Rice,270.0
Chicken Schezwan Fried Rice,220.0
Veg Fried Rice,210.0
Veg Hakka Noodles,210.0
Shawarma Meat,145.0
Prawn Schezwan Fried Rice,260.0
Chicken Chinese Chopsuey,220.0
Chicken Hong Kong Fried Rice,220.0
Chicken Hakka Noodles,220.0
Egg Schezwan Fried Rice,210.0
Chicken Burnt Garlic Rice,220.0
Veg Fried Rice,210.0
Veg Burnt Garlic Rice,210.0
Veg Schezwan Fried Rice,210.0
Veg Singapore Fried Rice,210.0
Veg Manchurian Fried Rice,250.0
Veg Triple Fried Rice,250.0
Egg Fried Rice,210.0
Egg Schezwan Fried Rice,210.0
Egg Singapore Fried Rice,210.0
Egg Manchurian Fried rcie,250.0
Egg Triple Fried Rice,250.0
Chicken Fried Rice,220.0
Chicken Burnt Garlic Rice,220.0
Chicken Schezwan Fried Rice,220.0
Chicken Manchurian Fried Rice,270.0
Chicken Triple Fried Rice,270.0
Chicken Hong Kong Fried Rice,220.0
Mutton Fried Rice,260.0
Prawn Schezwan Fried Rice,260.0
Veg Hakka Noodles,210.0
Veg Schezwan Noodles,210.0
Egg Hakka Noodles,210.0
Chowmein Egg,210.0
Chicken Hakka Noodles,220.0
Chicken Burnt Garlic Noodles,220.0
Chicken Hong Kong Noodles,220.0
Chicken Schezwan Noodles,220.0
Mutton Hakka Noodles,260.0
Chicken Chinese Chopsuey,220.0
Shawarma Meat,145.0
Meat Plate Shawarma,185.0
Shawarma,105.0
Plate Shawarma,145.0
