names,prices
Chicken Dum Biryani,290.0
Tandoori Chicken with Masala Rice,530.0
Chicken Pot Rice,320.0
Chicken Urwal,300.0
Mushroom Ghee Roast,240.0
Chicken Manchow Soup,150.0
Tandoori Chicken with Masala Rice,530.0
Veg Manchow Soup,130.0
Chicken Manchow Soup,150.0
Mushroom Ghee Roast,240.0
Mushroom Pepper Fry,230.0
Chilli Mushroom Dry,250.0
Gobhi Manchurian Dry,220.0
Crispy Malaysian Baby Corn,270.0
Crispy Malaysian Paneer,270.0
Chilli Chicken Dry,270.0
Chicken Manchurian Dry,270.0
Chicken Ghee Roast Dry,300.0
Chicken Suneri Kebab [6 Pieces],340.0
Tandoori Chicken,260.0
Chicken Garlic Tikka [8 Pieces],320.0
Chicken Tangdi Kebab [2 Pieces],350.0
Chicken Urwal,300.0
Chicken Satay [6 Pieces],340.0
Chicken Red and Pepper,350.0
Mutton Ghee Roast,330.0
Veg Kolhapuri,240.0
Matar Paneer,260.0
Chilli Chicken Gravy,270.0
Chicken Shanghai Gravy,290.0
Butter Chicken,310.0
Nellore Chicken Curry,290.0
Chicken Tikka Masala,340.0
Kadhai Chicken,290.0
Roti,60.0
Butter Naan,90.0
Kulcha,60.0
Chicken Dum Biryani,290.0
Mutton Dum Biryani,390.0
Veg Pot Rice,270.0
Chicken Pot Rice,320.0
Chicken Fried Rice,260.0
Chicken Hakka Noodles,260.0
Chicken American Chopsuey,290.0
