names,prices
Chicken Biryani,325.0
Mutton Biryani,450.0
Mughlai Chicken Biryani,360.0
Mutton Dum Biryani,560.0
Chicken Lollipop,260.0
Murgh Tikka Dum Biryani,460.0
Masala Murgh Dum Biryani,460.0
Zafrani Murgh Dum Biryani,455.0
Gobhi Manchurian,200.0
Chicken Kebab,340.0
Boneless Butter Chicken,325.0
Chicken Ghee Roast,310.0
Boneless Chilli Chicken,310.0
Paneer Mint Kebab,300.0
Chicken Tikka Masala,300.0
Murgh Tikka,300.0
Chilli Chicken,290.0
Drums of Heaven,260.0
Veg Manchow Soup,125.0
Mushroom Manchurian,240.0
Kadhai Paneer,240.0
Veg Noodles,225.0
Veg Kolhapuri,225.0
Veg Biryani,210.0
Chicken Manchow Soup,125.0
Veg Hot N Sour Soup,120.0
Chicken Irani Kebab,310.0
Mushroom Soup,110.0
Veg Hot N Sour Soup,120.0
Veg Manchow Soup,125.0
Veg Sweet Corn Soup,125.0
Chicken Hot N Sour Soup,120.0
Chicken Manchow Soup,125.0
Chicken Sweet Corn Soup,125.0
Mushroom Mint Kebab,250.0
Paneer Mint Kebab,300.0
Butter Garlic Paneer,250.0
Butter Garlic Mushroom,250.0
Ginger Paneer,200.0
Ginger Mushroom,200.0
Veg Spring Roll,200.0
Paneer Manchurian,240.0
Mushroom Manchurian,240.0
Gobhi Manchurian,200.0
Chicken Sukka,225.0
Chicken Ghee Roast,310.0
Boneless Chicken Ghee Roast,330.0
Murgh Tikka,300.0
Chicken Irani Kebab,310.0
Chicken Kebab,340.0
Boneless Hakka Chilli Chicken,350.0
Chicken Kastoori,300.0
Chicken Manchurian,300.0
Garlic Chiken,300.0
Chilli Chicken,290.0
Boneless Chilli Chicken,310.0
Chicken Lollipop,260.0
Drums of Heaven,260.0
Chicken 65,310.0
Paneer Tikka Masala,290.0
Kadhai Paneer,240.0
Palak Paneer,240.0
Veg Kolhapuri,225.0
Mutton Rogan Josh,475.0
Mutton Mughlai,500.0
Jaipuri Chicken,350.0
Peshawari Chicken,325.0
Butter Chicken,300.0
Boneless Butter Chicken,325.0
Kadhai Chicken,300.0
Chicken Tikka Masala,300.0
Garlic Naan,60.0
Butter Naan,50.0
Naan,45.0
Tandoori Roti,35.0
Rumali Roti,80.0
Stuffed Paratha,80.0
Stuffed Naan,80.0
Stuffed Kulcha,80.0
Egg Paratha,110.0
Jeera Rice,175.0
Gheer Rice,175.0
Veg Pulao,200.0
Veg Biryani,210.0
Veg Masala Dum Biryani,350.0
Stuffed Mushroom Biryani,410.0
Paneer Tikka Biryani,410.0
Mushroom Dum Biryani,380.0
Zafrani Murgh Dum Biryani,455.0
Masala Murgh Dum Biryani,460.0
Hyderabadi Murgh Dum Biryani,460.0
Murgh Tikka Dum Biryani,460.0
Mughlai Chicken Biryani,360.0
Chicken Biryani,325.0
Mutton Dum Biryani,560.0
Hyderabadi Mutton Dum Biryani,560.0
Mutton Biryani,450.0
Veg Fried Rice,225.0
Chicken Fried Rice,290.0
Chicken Schezwan Fried Rice,310.0
Veg Noodles,225.0
Chicken Noodles,290.0
Chicken Schezwan Noodles,310.0
