names,prices
"Chocolate [Family Pack, 700 ml]",135.0
Cornetto Double Chocolate [105 ml],40.0
"Crunchilicious Butterscotch [Tub, 700 ml]",149.0
"Darkly Divine Chocolate Sensation [Tub, 700 ml]",219.0
Kulfi Cup[100 ml],50.0
Cornetto Double Chocolate [105 ml],40.0
"Crunchilicious Butterscotch [Tub, 700 ml]",149.0
"Darkly Divine Chocolate Sensation [Tub, 700 ml]",219.0
"Choco Brownie Fudge [Tub, 700 ml]",265.0
"Chocolate [Family Pack, 700 ml]",135.0
"Kesar Pista [Family Pack, 700 ml]",170.0
"Tutti Frutti [Family Pack, 700 ml]",135.0
"Strawberry [Family Pack, 700 ml]",99.0
Aamras [60 ml x 2],60.0
