names,prices
Rice Bowl,209.0
Burrito,209.0
Salad,209.0
Soft Tacos,170.0
Paneer Mushroom Mini Bowl,160.0
Paneer Mushroom Mini Burrito,160.0
Chicken Mini Bowl,160.0
Chicken Mini Burrito,160.0
Rice Bowl,209.0
Burrito,209.0
Salad,209.0
Nachos,220.0
Soft Tacos,170.0
Chicken Cheesy White Sauce Pasta,209.0
BBQ Paneer Roll,160.0
BBQ Chicken Roll,160.0
Tandoori Chicken Roll,160.0
Quesadilla,160.0
Enchiladas,209.0
Tostads,160.0
Tortilla Chips,60.0
Sour Cream,40.0
French Fries,65.0
Peri Peri Fries,70.0
Lemon Ice Tea,50.0
Pink Lemonade,50.0
Mango Shake,80.0
Coffee Frappe,90.0
