names,prices
Mushroom Chilli,124.0
Gobi Manchurian,91.0
Paneer Butter Masala,169.0
Paneer Chilli,137.0
Dal Fry,124.0
Jeera Rice,124.0
Papdi Chaat,91.0
Mushroom Soup,90.0
Dahi Puri,78.0
Grape Juice,78.0
Pav Bhaji,72.0
Veg Pakoda,72.0
Onion Uttapam,65.0
Pani Puri,52.0
Fruit Salad,78.0
Single Sundae,72.0
Fruit Salad,78.0
Honey Bunny,91.0
Gudbud,111.0
Dry Fruit Salad,124.0
Hot Chocolate Fudge,104.0
Sandy Nut,98.0
Brown Chocos,98.0
Choco Scotch,98.0
Dilkush,124.0
Parfait,130.0
Chocolate Brownie,124.0
Triple Sundae,130.0
Nutty Symphony Sundae,130.0
Black Forest Fantasy,137.0
Light House,176.0
Parotta Kurma,65.0
Chapati Kurma,65.0
Puri Kurma,65.0
Tomato Soup,65.0
Veg Manchow Soup,85.0
Veg Hot and Sour Soup,85.0
Mushroom Soup,90.0
Dal Kolhapuri,137.0
Aoo Gobi Masala,137.0
Dal Fry,124.0
Dal Tadka Fry,124.0
Chana Masala,137.0
Plain Palak,124.0
Veg Kolhapuri,137.0
Veg Handi,150.0
Veg Kadhai,150.0
Mushroom Kadhai,169.0
Mix Veg Curry,176.0
Mushroom Hara Masala,176.0
Palak Paneer,169.0
Baby Corn Sukwala,169.0
Paneer Kadai,160.0
Paneer Makhani,169.0
Paneer Butter Masala,169.0
Baby Corn Mushroom Masala,169.0
Paneer Mushroom Masala,169.0
Kaju Masala,208.0
Mushroom Butter Masala,176.0
Paneer Peas Masala,176.0
Plain Chapati,18.0
Butter Chapati,24.0
Plain Paratha,20.0
Butter Paratha,26.0
Veg Biryani,163.0
Veg Hyderabadi Biryani,163.0
Paneer Biryani,189.0
Mushroom Biryani,189.0
Odeya Special Biryani,202.0
Kaju Ghee Rice,143.0
Jeera Rice,124.0
Palak Rice,117.0
Tadka Curd Rice,98.0
Curd Rice,85.0
Tawa Pulao,124.0
Veg Pulao,124.0
Paneer Peas Pulao,150.0
Mushroom Tawa Pulao,150.0
Paneer Tawa Pulao,150.0
Paneer Pulao,150.0
Odeya Special Tawa Pulao,163.0
Dal Khichdi,117.0
Palak Khichdi,117.0
Onion Uttapam,65.0
Masala Dosa,60.0
Gobi Chilli,98.0
Gobi Manchurian,91.0
Gobi Pepper,117.0
Gobi Ghee Roast,124.0
Gobi 65,117.0
Baby Corn Manchurian,117.0
Baby Corn Pepper,130.0
Baby Corn Ghee Roast,123.0
Baby Corn 65,124.0
Paneer Chilli,137.0
Paneer Manchurian,137.0
Paneer Pepper,189.0
Paneer Ghee Roast,208.0
Paneer 65,189.0
Mushroom Chilli,124.0
Mushroom Manchurian,124.0
Mushroom Pepper,150.0
Mushroom Ghee Roast,143.0
Baby Corn Schezwan,124.0
Veg Crispy,104.0
Veg Fried Rice,117.0
Paneer Fried Rice,137.0
Mushroom Fried Rice,130.0
Veg Schezwan Fried Rice,137.0
Triple Schezwan Fried Rice,169.0
Ginger Garlic Lemon Fried Rice,143.0
Mixed Veg Fried Rice,143.0
Veg Noodles,104.0
Veg Schezwan Noodles,117.0
Odeya Special Noodles,137.0
Mushroom Noodles,124.0
Paneer Noodles,130.0
Singapore Noodles,130.0
Veg Pizza,163.0
Double Cheese Pizza,195.0
Corn Pizza,163.0
Paneer Pizza,189.0
Odeya Special Pizza,220.0
Veg Burger,98.0
Cheese Burger,110.0
Veg Roll,104.0
Veg Mix Cheese Roll,117.0
Paneer Roll,130.0
Mushroom Roll,130.0
Masala Pav,52.0
Veg Pakoda,72.0
Paneer Pakoda,85.0
Bread Masala,91.0
Bhel Puri,52.0
Pani Puri,52.0
Masala Puri,59.0
Sev Puri,59.0
Dahi Puri,78.0
Papdi Chaat,91.0
Chinese Bhel,98.0
Pav Bhaji,72.0
Odeya Special Pav Bhaji,117.0
Masala Papad,39.0
Royal Falooda,104.0
Chocolate Swiss Falooda,117.0
Bournvita,72.0
Cold Coffee,65.0
Buttermilk,52.0
Vanilla Ice Cream [1 Scoop],52.0
Chocolate Ice Cream [1 Scoop],65.0
Chocolate Ice Cream Milkshake,117.0
Chikoo Fruity Milkshake,85.0
Pomegranate Fruity Milkshake,98.0
Lime Juice,39.0
Fresh Lime Soda,46.0
Watermelon Juice,65.0
Pineapple Juice,78.0
Orange Juice,78.0
Grape Juice,78.0
