names,prices
Premium Meals Box,245.0
Plain Parantha,70.0
Aloo Parantha,95.0
Onion Parantha,100.0
Onion and Capsicum Parantha,115.0
Veg Meal Boxes,199.0
Premium Meals Box,245.0
Plain Parantha,70.0
Aloo Parantha,95.0
Gobi Parantha,100.0
Onion Parantha,100.0
AGO Parantha,110.0
Onion and Capsicum Parantha,115.0
Paneer Parantha,120.0
Paneer Mix Parantha,135.0
Cheese Parantha,140.0
Aloo Methi,115.0
Aloo Jeera,115.0
Chole,115.0
Paneer ki Rozana Sabzi,150.0
Ghar Wali Dal,105.0
Bhindi Masala,130.0
Raita,105.0
Dal Khichdi (Half),120.0
Chole Kulche,215.0
Tawa Roti,25.0
Chole Rice,190.0
Lassi,110.0
Namkeen Lassi,100.0
Masala Shikanji,90.0
Jal Jeera,70.0
Thandai,110.0
