names,prices
Sulaimani Black Tea,60.0
Ginger Black Tea,75.0
Lemon Tea,75.0
Pudina Tea,75.0
Ginger Lemon Tea,90.0
Mint Lemon Tea,90.0
Red Elaichi Tea,100.0
Ginger Lemon Honey Tea,105.0
Masala Milk Chai,105.0
Diamond Chai,105.0
Elaichi Milk Chai,110.0
Ginger Milk Chai,90.0
Kadak Milk Chai,90.0
Saada Chai,60.0
Pudina Lemon Blast,90.0
Hot Chocolate,105.0
Milk Coffee,90.0
Ginger Kaapi,90.0
Iced Lemon Tea,49.0
Cold Coffee,49.0
Cold Badam,49.0
Cold Boost,49.0
Cold Horlicks,49.0
Mint Mojito,60.0
Crush Mint Mojito,60.0
Pineapple Crush,60.0
Blue Ocean,60.0
Green Apple,60.0
Lemon Juice,49.0
Lemon Ginger Juice,49.0
Orange Juice,49.0
Mosambi Juice,49.0
Pineapple Juice,49.0
Water Melon,49.0
Oreo Original Shaker,59.0
Chocolate Soldier Shaker,59.0
Crunchy Caramel Shaker,59.0
Cappuccino Shake,59.0
Butterscotch Shake,59.0
Maggi Shaker Combo,89.0
Veg Maggi Shaker Combo,109.0
Veg Crunchy Sandwich Combo,119.0
Paneer Tikka Burger Combo,149.0
Egg Maggi Shaker Combo,119.0
Egg Baker Sandwich Combo,139.0
Fried Chicken Burger Combo,169.0
Chicken Spicy Sandwich Combo,159.0
Barbeque Twist Sandwich Combo,159.0
Chicken Keema Samoli Combo,169.0
Crispy Chicken Samoli Combo,159.0
Plain Maggi Chai Combo [Serves 2 ],129.0
French toast (2 Pieces) with Chai [Serves 2],139.0
Cheese toast (2 Pieces) Chai Combo [Serves 2 ],129.0
Chilli cheese toast (2 Pieces) Chai Combo [Serves 2 ],129.0
Chilli French toast (2 Pieces) with Chai [Serves 2],139.0
French fries with Chai [Serves 2],119.0
Egg Maggi (2) with Chai [Serves 2],139.0
Paneer Tikka Burger,70.0
Aloo Tikki Burger,60.0
Egg Crunch Burger,60.0
Fried Chicken Burger,95.0
Crispy Cross Chicken Burger,95.0
Firehouse Chicken Burger,95.0
Barbeque Delight Burger,95.0
Paneer Tikka Sandwich,70.0
Veg Crunchy Sandwich,60.0
Garden Green Sandwich,55.0
Chicken Spicy Sandwich,85.0
Barbeque Twist Sandwich,90.0
Aloo Tikki Roll,60.0
Omelette Roll,60.0
Crispy Chicken Roll,80.0
Meatball Roll,90.0
Chicken Keema Roll,90.0
Paneer Tikka Somali Wrap,70.0
Veg Samoli Wrap,60.0
Omelette Somali Wrap,60.0
Scrambled Egg Samoli Wrap,60.0
Chicken Crispy [6 Pieces],150.0
Crispy Chicken Samoli Wrap,80.0
Chicken Keema Samoli Wrap,90.0
Hot Dog Samoli Wrap,85.0
Plain Maggi,39.0
Plain Maggi Chai Combo [Serves 2 ],129.0
Veg Maggi,55.0
Veg Maggi Shaker Combo,109.0
Double Cheese Maggi,80.0
Shahi Maggi,70.0
Egg Maggi,65.0
Egg Maggi (2) with Chai [Serves 2],139.0
Egg Maggi Shaker Combo,119.0
Chicken Maggi,85.0
Cheese Toast,35.0
Honey French Toast,55.0
French Toast,49.0
Chilli French Toast,49.0
French Fries,60.0
Red Chilli French Fries,60.0
Pepper French Fries,60.0
Red Honey French Fries,85.0
