names,prices
Crispy Chicken Gravy Fried Rice,370.0
Butter Garlic Prawns,350.0
Non Veg Burnt Garlic Fried Rice,320.0
Honey Garlic Chicken,310.0
Veg Chilli Garlic Noodles,275.0
Non Veg Burnt Chilli Noodles,340.0
Non Veg Chilli Garlic Noodles,340.0
Peri Peri Wings,280.0
Dragon Chicken,280.0
Kung Pao Chicken,280.0
Honey Chilli Potato,260.0
Sliced Chicken with Chilli Oyester Sauce,350.0
Nachos Fries,220.0
Schezwan Spicy Chicken,280.0
Buddha Starter,280.0
Chicken Lollipop,280.0
Veg Burnt Chilli Noodles,275.0
Veg Hakka Noodles,275.0
Non Veg Butter Garlic Fried Rice,360.0
Non Veg Thai Red Curry,350.0
Barbecue Wings,280.0
Kung Pao Paneer,280.0
Chilli Chicken,280.0
Black Pepper Sauce Lollipop,280.0
Buddha Starter,280.0
Cottage Cheese Barbeque Pepper,280.0
Kung Pao Paneer,280.0
Honey Chilli Potato,260.0
Corn Chilli Pepper,260.0
Dragon Chicken,280.0
Chicken Lollipop,280.0
Black Pepper Sauce Lollipop,280.0
Kung Pao Chicken,280.0
Chilli Chicken,280.0
Chicken Wonton,280.0
Schezwan Spicy Chicken,280.0
Hunan Chicken,280.0
Butter Garlic Chicken,350.0
Honey Garlic Chicken,310.0
Kung Pao Fish,350.0
Kung Pao Prawns,350.0
Crispy Mayo Prawns,350.0
Butter Garlic Prawns,350.0
Salt and Pepper Prawns with Bell Pepper,350.0
Burnt Chilli Paneer,350.0
Chilli Paneer Gravy,350.0
Veg Thai Red Curry,330.0
Sliced Chicken with Chilli Oyester Sauce,350.0
Non Veg Thai Red Curry,350.0
Non Veg Thai Green Curry,350.0
Veg Schezwan Fried Rice,280.0
Veg Wok Tossed Fried Rice,280.0
Veg Dragon Gravy Pot Rice,330.0
Non Veg Wok Tossed Fried Rice,320.0
Non Veg Burnt Garlic Fried Rice,320.0
Non Veg Butter Garlic Fried Rice,360.0
Non Veg Mangolian Gravy Pot Rice,370.0
Non Veg Dragon Gravy Pot Rice,370.0
Crispy Chicken Gravy Fried Rice,370.0
Seafood Wok Tossed Fried Rice,380.0
Seafood Burnt Garlic Fried Rice,380.0
Seafood Butter Garlic Gravy Fried Rice,390.0
Veg Hakka Noodles,275.0
Veg Chilli Garlic Noodles,275.0
Veg Burnt Chilli Noodles,275.0
Veg Pan Fried Gravy Noodles,320.0
Non Veg Hakka Noodles,340.0
Non Veg Chilli Garlic Noodles,340.0
Non Veg Burnt Chilli Noodles,340.0
Non Veg Dragon Pot Gravy Noodles,360.0
Non Veg Pan Fried Gravy Noodles,360.0
Seafood Mangolian Gravy Noodles,390.0
Seafood Dragon Pot Gravy Noodles,390.0
Seafood Pan Fried Gravy Noodles,390.0
Peri Peri Fries,200.0
Nachos Fries,220.0
Chicken Nugget,260.0
Barbecue Wings,280.0
Peri Peri Wings,280.0
