names,prices
Corn Masala Sandwich,60.0
Motichur Laddu [250 grams],100.0
Veg Grilled Sandwich,55.0
Rasmalai [1 Piece],45.0
Rasmalai [1 Piece],45.0
Cham Cham [200 grams],80.0
Kaju Katli [100 grams],120.0
Motichur Laddu [250 grams],100.0
Dharwad Pedha [200 grams],115.0
Ghee Mysore Pak [200 grams],130.0
Ghee Soan Papdi [200 grams],120.0
Mix Bites [200 grams],260.0
Kaju Mix Sweets [200 grams],250.0
Mava Mix Sweets [200 grams],130.0
Ghee Jamun [200 grams],80.0
Veg Grilled Sandwich,55.0
Cheese Grilled Sandwich,60.0
Paneer Grilled Sandwich,60.0
Corn Masala Sandwich,60.0
Chilli Cheese Sandwich,60.0
Aloo Masala Cheese Sandwich,60.0
Bread Butter Jam Plain Sandwich,30.0
Paneer Cheese Sandwich,70.0
Paneer Masala Sandwich,60.0
Chutney Cheese Grilled Sandwich,50.0
Mushroom Masala Sandwich,70.0
Onion Masala Cheese Sandwich,65.0
Samosa,25.0
Dal Kachori,25.0
Vada Pav,25.0
Dhokla,35.0
Dahi Kachori,80.0
Raj Kachori,100.0
Dahi Bhalla,100.0
Pav Bhaji,80.0
Paneer Pav Bhaji,100.0
Cheese Pav Bhaji,110.0
Masala Puri,60.0
Pani Puri,40.0
Bhel Puri,55.0
Sev Puri,55.0
Dahi Puri,60.0
Papdi Chaat,60.0
Chole Samosa Chaat,65.0
Dahi Samosa Chat,60.0
Chole Kachori Chat,65.0
Dahi Kachori Chaat,60.0
Special Agra Mix [200 grams],75.0
Navaratna Mix [200 grams],75.0
Laxmeshwar Khara [200 grams],75.0
Savanur Khara [200 grams],75.0
Special Khara [200 grams],75.0
Khara Boondi [200 grams],75.0
Garlic Mixture [200 grams],75.0
Potato Masala Chips [200 grams],100.0
Potato Salt Chips [200 grams],100.0
Bananas Salt Chips [200 grams],100.0
Bananas Chips Masala [200 grams],100.0
Big Bhakarwadi [200 grams],75.0
Mini Bhakarwadi [200 grams],75.0
Dry Kachori [200 grams],75.0
Dry Samosa [200 grams],75.0
Papdi [200 grams],75.0
Atta Shenga [200 grams],75.0
Aloo Finger Palak Chips [200 grams],75.0
Aloo FInger Chips Masala [200 grams],75.0
Chakli [200 grams],75.0
Masala Butter Milk,25.0
Badam Milk,50.0
Lassi,50.0
