names,prices
Chicken Parmigiana,210.0
Teriyaki Chicken,180.0
Veg Hakka Noodles,130.0
Chicken Parmigiana,210.0
Non Veg Combo 2,185.0
Stir Fried Chicken Coriander Pepper Sauce with Rice,200.0
Veg Platter,235.0
Chinese Chicken Platter,250.0
Chicken Sweet Corn Soup,105.0
Chicken Hot and Sour Soup,105.0
Chicken Lollipop,165.0
Crispy Dragon Chicken,175.0
Salted Pepper Chicken,175.0
Teriyaki Chicken,180.0
Hong Kong Chicken,165.0
Chicken Garlic,165.0
Diced Chicken Garlic Ginger,165.0
Mushroom Schezwan,145.0
Chicken Manchurian,145.0
Lemon Chicken Chilli,165.0
Veg Burnt Garlic Fried Rice,135.0
Veg Oriental Fried Rice,145.0
Egg Fried Rice,140.0
Chicken Schezwan Fried Rice,145.0
Chicken Burnt Garlic Fried Rice,145.0
Veg Hakka Noodles,130.0
Egg Noodles,140.0
Chicken American Chopsuey,150.0
