names,prices
Mississippi Mud Ice cream,522.86
HERSHEY'S Chocolate Overload Super Duper Thickshake,335.0
Three cheers chocolate Ice cream,301.0
Classic Fudge Roll Cake Slice,125.0
Cotton Candy Ice cream,99.0
Banana 'N Strawberries Ice cream,89.0
Chocolate Mousse Royale Ice cream,104.0
Chocolate Almond Praline Ice cream,99.0
Fresh Fruit Alphonso Mango Ice cream,89.0
Gold Medal Ribbon Ice cream,377.0
Hop Scotch Butterscotch Ice cream,368.0
HERSHEY'S Chocolate Overload Super Duper Thickshake,335.0
Three cheers chocolate Ice cream,74.0
Dutch Chocolate Ice cream,89.0
Belgian Bliss Ice cream,99.0
Chocolate Almond Praline Ice cream,99.0
Mint Milk Chocolate Chips Ice cream,99.0
Bavarian Chocolate Ice cream,104.0
Chocolate Mousse Royale Ice cream,104.0
Gold Medal Ribbon Ice cream,104.0
Mississippi Mud Ice cream,104.0
Roasted Californian Almond Ice cream,89.0
Splish Splash Ice cream,89.0
Cotton Candy Ice cream,99.0
Honey Nut Crunch Ice cream,99.0
Roasted Coffee Creme Ice cream,99.0
Hop Scotch Butterscotch Ice cream,99.0
Pralines 'N Cream Ice cream,104.0
Raspberry Sorbet,104.0
Fresh Fruit Chikoo Ice cream,74.0
Fresh Litchi Ice cream,74.0
Fresh Fruit Very Berry Strawberry Ice cream,74.0
Fresh Fruit Alphonso Mango Ice cream,89.0
Black Currant Ice cream,99.0
Banana 'N Strawberries Ice cream,89.0
Three cheers chocolate Ice cream,301.0
Belgian Bliss Ice cream,368.0
Chocolate Almond Praline Ice cream,368.0
Mint Milk Chocolate Chips Ice cream,368.0
Bavarian Chocolate Ice cream,377.0
Chocolate Mousse Royale Ice cream,377.0
Gold Medal Ribbon Ice cream,377.0
Mississippi Mud Ice cream,522.86
Roasted Californian Almond Ice cream,344.0
Splish Splash Ice cream,344.0
Cotton Candy Ice cream,368.0
Honey Nut Crunch Ice cream,368.0
Hop Scotch Butterscotch Ice cream,368.0
Pralines 'N Cream Ice cream,377.0
Fresh Chikoo Ice cream,301.0
Fresh Litchi Ice cream,301.0
Banana 'N Strawberries Ice cream,344.0
Black Currant Ice cream,368.0
Raspberry Sorbet,377.0
Dairy-Free Fresh Alphonso Mango (Vegan),377.0
Classic Fudge Roll Cake Slice,125.0
Bavarian Knight Roll Cake Slice,125.0
Mississippi Mud Roll Cake Slice,125.0
Thunder Hot Fudge,200.0
Vanilla Affair,165.0
Nutty Professor,245.0
Brownie A La Mode,320.0
Oreo Cookie,225.0
HERSHEY'S Chocolate Overload Super Duper Thickshake,335.0
