names,prices
Anzac Cookies [200 grams],170.0
Shrewsbury [200 grams],160.0
Lava Cupcake,75.0
Nutella Cheesecake Pastry,130.0
Choco Chip Pastry,110.0
Kit Kat Pastry,120.0
Doukissa Pastry,120.0
Chocolate Fantasy Pastry,120.0
Red Velvet Pastry,100.0
Red Velvet Charlotte Pastry,120.0
Chocolate Temptation,110.0
Hot Chocolate Fudge Sundae,150.0
Chocolate Lava Fudge Sundae,160.0
Death By Chocolate Sundae,160.0
Oreo Smoothie,140.0
Kit Kat Smoothie,150.0
Belgium Chocolate Smoothie,150.0
Red Velvet Smoothie,150.0
Lemon Iced Tea,120.0
Iced Cold Coffee,130.0
