names,prices
Cheese Chicken Roll,99.0
Krisper Roll,99.0
Cheesy Chicken Shots [6 Pieces],85.0
Chicken Nuggets [4 Pieces],75.0
Crunchy Masala Chicken,90.0
Crunchy Masala Chicken,90.0
Thai Crispy Chicken,90.0
Hot n Smokey Chicken,90.0
Veg Burger,89.0
Crispy Chicken Burger,79.0
Hot Crispy Burger,120.0
Chicken Nugets Burger,130.0
Double Cheese Veg Burger,130.0
Cheese Crispy Chicken Burger,85.0
Cheese Hungry Bird Burger,125.0
Double Patty Hungry Bird Burger,220.0
Cheese Hot Crispy Burger,155.0
Veg Roll,85.0
Chicken Roll,90.0
Krisper Roll,99.0
Hungry Bird Roll,110.0
Crispy Chicken Roll,75.0
Cheese Chicken Roll,99.0
Cheesy Chicken Shots [6 Pieces],85.0
Chicken Nuggets [4 Pieces],75.0
Chickn Nuggets,160.0
