names,prices
Alfredo Pasta Veg,160.0
Chicken Banjara Kabab,200.0
Andhra Chicken Chilli,225.0
Lemon Chicken,200.0
Spicy Crunchy Chicken,185.0
Chicken Chinese Sizzler,185.0
Chicken Ghee Roast,195.0
North Veg Delight,159.0
North Chicken Delight,189.0
Chinese Veg Delight,159.0
Chinese Chicken Delight,189.0
Veg Pasta Combo,169.0
Ghee Rice + Chicken White Kurma Combo,150.0
Stuffed Capsicum Sizzler,225.0
Drums of Heaven,189.0
Chicken Banjara Kabab,189.0
Chicken Hyderabadi Kabab,189.0
Chicken Spring Roll,189.0
Tandoori Roti,30.0
Plain Naan,35.0
Garlic Naan,35.0
Butter Naan,35.0
Aloo Paratha,40.0
Chicken Kothu Paratha,110.0
3 Neer Dosa,50.0
Buddy Tadka Meal,250.0
Buddy Conti Meal,250.0
Buddy Fusion Meal,250.0
Veg Northern Delight,225.0
Veg Arrabiata Pasta,169.0
Veg Mac N Cheese Pasta,159.0
Chicken Lasagne Pasta,189.0
Chicken Arrabiata Pasta,189.0
Chicken Mac N Cheese Pasta,189.0
French Fries,85.0
Mexican Fries,95.0
Chicken Pakoda,139.0
