names,prices
Chicken Biryani with Chicken Kabab,160.0
Chicken Biryani,110.0
Fish Curry with Rice,60.0
Chicken Sukka,90.0
Fish Thali with Bangude Tawa,200.0
Squid Ghee Roast,200.0
Chicken Biryani with Chicken Ghee Roast,240.0
Crab Ghee Roast,300.0
Chicken Biryani with Chicken Sukka,160.0
Prawns Ghee Roast,300.0
Chicken Kabab,110.0
Crab AllePiyao,300.0
Prawns Biryani,300.0
Pomfret Tawa Fry,250.0
Paneer Ghee Roast,170.0
Neer Dosa,60.0
Taru Buthai Deep Fry,160.0
Mackeral Tawa Fry,100.0
Bangude Pulimunchi,150.0
Veg Curry with Rice,60.0
Squid Deep Fry,200.0
Bolengir Allepiyao,170.0
Veg Biryani,150.0
Prawns Deep Fry,300.0
Mackeral Deep Fry,100.0
Silver Fish Rava Fry,150.0
Veg Curry with Rice,60.0
Fish Curry with Rice,60.0
Neer Dosa,60.0
Chicken Biryani with Chicken Sukka,160.0
Chicken Biryani with Chicken Ghee Roast,240.0
Chicken Biryani with Chicken Kabab,160.0
Prawns Biryani with Squid Ghee Roast,460.0
Fish Thali with Bangude Tawa,200.0
Paneer Ghee Roast,170.0
Chicken Sukka,90.0
Chicken Kabab,110.0
Chicken Lasooni,110.0
Pomfret Rava Fry,250.0
Mackerel Rava Fry,100.0
Lady Fish Rava Fry,210.0
Crocker Rava Fry,170.0
Sole Fish Rava Fry,190.0
Silver Fish Rava Fry,150.0
Pomfret Tawa Fry,250.0
Mackeral Tawa Fry,100.0
Lady Fish Tawa Fry,210.0
Crocker Tawa Fry,170.0
Sole Fish Tawa Fry,190.0
Mackeral Deep Fry,100.0
Prawns Deep Fry,300.0
Squid Deep Fry,200.0
Buthai Deep Fry,90.0
Silver Fish Deep Fry,150.0
Taru Buthai Deep Fry,160.0
Pomfret Ghee Roast,270.0
Mackeral Ghee Roast,120.0
Lady Fish Ghee Roast,230.0
Prawns Ghee Roast,300.0
Squid Ghee Roast,200.0
Crab Ghee Roast,300.0
Bolengir Allepiyao,170.0
Bangude Allepiyao,150.0
Manji Allepiyao,300.0
Prawns Allepiyao,300.0
Crab AllePiyao,300.0
Bangude Pulimunchi,150.0
Bangude Punnaupkari,150.0
Prawns Pannaupkari,300.0
Plain Rice,40.0
Biriyani Rice,80.0
Veg Biryani,150.0
Chicken Biryani,110.0
Prawns Biryani,300.0
