names,prices
Idli Wada Mixed,86.0
Masala Dosa,81.0
Mysore Masala Dosa,91.0
Steamed Idli,66.0
Veg Club Grilled Sandwich,115.0
Uddina Wada,66.0
Puri Kurma,86.0
Rava Dosa,87.0
Tea,30.0
Buns [2 Pieces],65.0
Pineaple Sheera,79.0
Set Dosa,81.0
Cheese Masala Dosa,109.0
Veg Cutlet,81.0
Mixed Fruits Plate,135.0
Dahi Wada [2 pieces],93.0
Plain Dosa,72.0
Masala Tea,37.0
Cheese Chilli Grilled Sandwich,110.0
Upma,55.0
Filter Coffee,30.0
Veg Club Sandwich,110.0
Paneer Tikka Grilled Sandwich,130.0
Idli Fry,85.0
Paneer Tikka Pizza [6 inches],159.0
Mysore Plain Dosa,87.0
Veg Cheese Grilled Sandwich,105.0
Orange Juice,120.0
Water Melon Juice,115.0
Finger Chips,110.0
Sev Puri,80.0
Cheese Grilled Sandwich,100.0
Gadbad Ice Cream,155.0
Mosambi Juice,130.0
Sambhar,30.0
Rasam,30.0
Sambhar,30.0
Palya,30.0
Kurma,30.0
Sweet Payasam,35.0
Rice Bowl,35.0
Plain Dosa,72.0
Masala Dosa,81.0
Mysore Plain Dosa,87.0
Rava Dosa,87.0
Upma,55.0
Steamed Idli,66.0
Pineaple Sheera,79.0
Idli Fry,85.0
Uddina Wada,66.0
Idli Wada Mixed,86.0
Puri Kurma,86.0
Mysore Masala Dosa,91.0
Rava Masala Dosa,96.0
Cheese Dosa,99.0
Onion Rava Masala Dosa,98.0
Spring Dosa,101.0
Cheese Masala Dosa,109.0
Plain Uthappam,82.0
Onion Uthappam,91.0
Onion Tomato Uttapam,92.0
Cheese Uthappa,101.0
Cheese Onion Uthappa,103.0
Set Dosa,81.0
Biscuit Ambade [2 Pieces],65.0
Buns [2 Pieces],65.0
Batata Wada [2 Pieces],65.0
Chattambade [2 Pieces],65.0
Goli Baje [6 Pieces],70.0
Chutney,30.0
Sambhar,30.0
Cheese Pizza [6 inches],151.0
Veg Pizza [6 inches],149.0
Mushroom Pizza [6 inches],151.0
Paneer Tikka Pizza [6 inches],159.0
Bread Butter Sandwich,63.0
Toast Butter Sandwich,63.0
Jam Bread Butter Sandwich,72.0
Jam Toast Butter Sandwich,75.0
Veg Sandwich,84.0
Veg Toast Sandwich,89.0
Cheese Sandwich,91.0
Cheese Toast Sandwich,96.0
Veg Tomato Omelette Sandwich,94.0
Veg Cheese Toast Sandwich,96.0
Veg Club Sandwich,110.0
Veg Burger,110.0
Cheese Burger,120.0
Veg Cheese Burger,130.0
Veg Grilled Sandwich,95.0
Cheese Grilled Sandwich,100.0
Veg Cheese Grilled Sandwich,105.0
Veg Club Grilled Sandwich,115.0
Cheese Chilli Grilled Sandwich,110.0
Paneer Tikka Grilled Sandwich,130.0
Dahi Batata Puri,80.0
Sev Puri,80.0
Pani Puri,80.0
Veg Pakoda,105.0
Onion Pakoda,105.0
Paneer Pakoda,116.0
Dahi Wada [2 pieces],93.0
Veg Cutlet,81.0
Corn Flakes,62.0
Finger Chips,110.0
Veg Raitha,100.0
Boondi Raitha,110.0
Kashmiri Raitha,110.0
Bowl Curd,70.0
Fruit Salad with Jelly and Ice Cream,150.0
Fruit Salad,120.0
Fruit Salad with Ice Cream,140.0
Fruit Salad with Jelly,140.0
Gajar Halwa,100.0
Gajar Halwa with Ice cream,130.0
Mixed Fruits Plate,135.0
Apple Plate,145.0
Chikku Shake,135.0
Mango Mastani,160.0
Dry Fruit Mastani,170.0
Vanilla Ice Cream,50.0
Strawberry Ice Cream,50.0
Mango Ice Cream,50.0
Nut Cut Ice Cream,75.0
Belgium Chocolate Ice Cream,75.0
Gadbad Ice Cream,155.0
Three Men in Boat Ice Cream,165.0
Silver Queen Ice Cream,165.0
Banana Split Ice Cream,165.0
Kesar Faluda,145.0
Tea,30.0
Masala Tea,37.0
Filter Coffee,30.0
Nescafe,50.0
Bournvita,55.0
Horlicks,55.0
Hot Chocolate,55.0
Badam Milk,32.0
Glass of Milk,65.0
Cup of Milk,32.0
Fresh Lime Juice,58.0
Fresh Lime Juice with Soda,68.0
Water Melon Juice,115.0
Mosambi Juice,130.0
Orange Juice,120.0
Pineapple Juice,120.0
Pomagranate Juice,130.0
Grape Juice,140.0
Apple Juice,140.0
Sweet Lassi,110.0
Special Lassi,130.0
Butter Milk,80.0
Masala Butter Milk,90.0
Banana Milkshake,120.0
Apple Milkshake,120.0
Mango Pulp Milkshake,120.0
Kaju Anjeer Milkshake,140.0
Strawberry Milkshake,140.0
Vanilla Milkshake,120.0
Cold Coffee Milkshake,120.0
Dry Fruit Milkshake,140.0
Kesar Pista Milkshake,140.0
Chocolate with Nuts Milkshake,140.0
