names,prices
Chicken Pop Rice Bowl,180.0
Chicken Fries Shawarma,120.0
Chicken Salad Shawarma,90.0
Bun,15.0
Fried Chicken,99.0
Special Grilled Chicken,210.0
Chicken Burger,120.0
Chicken Pop Rice Bowl,180.0
Half Biryani + 1 Piece Broast Fried Chicken + Mojito,290.0
Chicken Pop [Regular ],149.0
Spicy Chicken Pop,149.0
Boneless Strips,150.0
Hot Wings,150.0
Pop Dynamite,159.0
Royal Meal,265.0
Chicken Pop Meal,189.0
Chicken Burger Meal,210.0
Chicken Salad Shawarma,90.0
Chicken Shawarma (Only Meat),120.0
Chicken Fries Shawarma,120.0
Chicken Cheese Shawarma,130.0
Shawarma Brost Special Plate Shawarma,275.0
Chicken Shawarma,120.0
Chicken Shawarma Platter,180.0
Fried Chicken,99.0
Minifried Chicken,210.0
Alfaham [8 Pieces] [Full],480.0
Bbq Hot Wings (5 Pieces),190.0
Chicken Dum Biryani,170.0
Special Grilled Chicken,210.0
Veg Burger,90.0
Veg Delight Burger,109.0
Chicken Burger,120.0
Crunchy Supreme Burger,120.0
Royal Crunchy Burger,130.0
Tandoori Burger,159.0
Royal Chicken Wrap,139.0
Veg Poppers [12 Pieces],89.0
Veg Nuggets,89.0
Chicken Nuggets,139.0
Crispy Fries,59.0
Masala Fries,79.0
Garlic Dip,25.0
Bun,15.0
Mango Crush,79.0
Pepsi [250 ml],45.0
