names,prices
Veg Biryani,140.0
Chicken Dum Biryani,190.0
Chicken Tikka Biryani,200.0
Chicken Lollipop,190.0
Burger Combo 2(2 Egg burger+French Fries+ 1 lime juice),119.0
Burger Combo 3(1 Grill chicken burger+French fries+lime juice),169.0
Burger Combo 4(2 Grill chicken burger+French Fries+2 lime juice),270.0
Chicken Shawarma Combo 1(1 Chicken Shawarma+tandoori chicken [1 piece]+1 lime Juice),199.0
Chicken Shawama Combo 2(2 Chicken Shawarma + 2 piece Tandoori Chicken + 2 Lime Juice,290.0
Hyderabadi Dum Chicken Biryani [Full],159.0
Hyderabadi Dum Chicken Biryani {Full} with Lime Juice,199.0
2 Hyderabadi Dum Chicken Biryani [Full] with 2 Lime Juice,399.0
Hyderabadi Dum Chicken Biryani [Full] with Kebab [2 Pieces] and Lime Juice,270.0
Paneer Kadhai,180.0
Paneer Butter Masala,180.0
Paneer Palak,180.0
Mushroom Butter Masala,170.0
Mushroom Kofta,170.0
Dal Fry,120.0
Dal Tadka,130.0
Chicken Masala,185.0
Chicken Kolhapuri,185.0
Chicken Tikka Masala,195.0
Chicken Butter Masala,195.0
Steamed Rice,80.0
Ghee Rice,120.0
Curd Rice,120.0
Dal Khichdi Tadka,160.0
Veg Biryani,140.0
Paneer Tikka Biryani,200.0
Paneer Hyderabadi Biryani,200.0
Mushroom Biryani,180.0
Biryani Rice,110.0
Mushroom Tikka Biryani,190.0
Egg Biryani,160.0
Chicken Dum Biryani,190.0
Chicken Palakadan Biryani,200.0
Chicken Hyderabadi Biryani,200.0
Chicken Tikka Biryani,200.0
Chicken Leg Biryani,210.0
Paneer 65,190.0
Gobi 65,150.0
Boneless Chicken Chilli [8 Pieces],195.0
Boneless Chicken Manchurian [8 Pieces],195.0
Veg Fried Rice,120.0
Veg Triple Schezwan Fried Rice,160.0
Veg Burnt Garlic Fried Rice,130.0
Egg Schezwan Fried Rice,140.0
Chicken Fried Rice,140.0
Chicken Triple SChezwan Fried Rice,190.0
Chicken Chilli Fried Rice,180.0
Chicken Kabsa Rice,220.0
Shawarma Roll,80.0
Shawarma Meat Roll,120.0
Tikka Shawarma,90.0
Tikka Meat Shawarma,140.0
Al Faham Shawarma,130.0
BBQ Chicken Shawarma,130.0
Grilled Chicken,120.0
Paneer Tikka Burger,95.0
Aloo Tikka Burger,80.0
Grilled Chicken Burger,90.0
KFC Burger,110.0
Chicken Tikka Burger,100.0
Paneer Tikka Sandwich,195.0
Chicken Tikka Sandwich,100.0
Kabab Sandwich,95.0
French Fries,100.0
Wedges,100.0
Veg Nuggets,110.0
Dragon Chicken,195.0
Chicken Drumstick,210.0
Chicken Lollipop,190.0
Chicken Kabab,190.0
Paneer Tikka Dry,195.0
Tandoori Chicken,130.0
Andhra Special Tandoori Chicken,150.0
Malai Special Tandoori Chicken,160.0
Boneless Chicken Tikka Dry [6 Pieces],195.0
Boneless Chicken Pahadi Tikka [6 Pieces],210.0
Pista Ice Cream,60.0
Special Fruit Salad Ice Cream,160.0
Lime Mint Juice,50.0
Butter Milk,50.0
Mosambi Juice,70.0
Watermelon Juice,70.0
Anar Juice,90.0
Shamam Milkshake,90.0
Anjir Milkshake,90.0
Strawberry Ice Cream Milkshake,80.0
Roti,20.0
Naan,25.0
Chicken Keema Naan,120.0
Chicken Manchow Soup,130.0
