names,prices
Healthy Egg Bhurji with Bread Meal [2 Slices],100.0
Healthy Egg Bhurji with Bread Meal [2 Slices],100.0
Healthy Steamed Chicken Brown Fried Rice Meal,160.0
Chicken Burger Combo,210.0
Tomato Soup,90.0
Chicken Kabab [6 Pieces],120.0
2 Healthy Wheat Oats Dosa,120.0
Chicken Red Sauce Pasta,120.0
Chicken White Sauce Spaghetti,100.0
Paneer Steamed Momos [7 Pieces],200.0
Chicken Cheese Steamed Momos [8 Pieces],230.0
Wai Wai Vegetable Noodles,70.0
Wai Wai Veg Schezwan Noodles,80.0
Bangkok Sweet Chilli Maggi,80.0
French Fries,110.0
Masala French Fries,120.0
Chicken Nachos,120.0
Mountain Dew [600 ml],80.0
