names,prices
Italian Margherita Pizza,359.0
Triple Cheese Margherita Pizza,379.0
Popeye Pizza,399.0
Farmhouse Pizza,399.0
Paneer Tikka Pizza,399.0
Roasted Chicken Pizza,459.0
Cajun Chicken Pizza,449.0
Peri Peri Chicken Pizza,419.0
Chicken Tikka Pizza,419.0
Chicken Meaty Deli Pizza,479.0
BBQ Chicken Pizza,419.0
Lamb Pepperoni Pizza,519.0
Olive Garlic Chicken Soup,139.0
Cottage Cheese Cigar,189.0
Potato Croquettes,169.0
Chicken Parma,269.0
Classic Pesto Pasta Veg,249.0
Sun Dried Tomato Pesto Pasta Veg,269.0
Spaghetti Aglio Olio Veg,249.0
Mushroom Mince Three Cheese Lasagna,289.0
Chicken Mince Three Cheese Lasagna,339.0
Creamy pasta veg,249.0
Mushroom Risotto,229.0
Cottage Cheese Panini,209.0
Chicken Pesto Panini,249.0
Deli Chicken and Cheese Panini,269.0
Triple Cheese Overload Garlic Bread Bruschetta,169.0
Berry Panna Cotta,159.0
Tres Leches,169.0
