names,prices
Butterscotch Cake,360.0
Black Forest Cake,360.0
Chocolate Globe Cake,400.0
Chocolate Truffle Cake,400.0
Chocolate Truffle Pastry,60.0
Black Forest Pastry,50.0
Chocolate Lava Cake,48.0
Chocolate Lava Cake,48.0
Black Forest Pastry,50.0
Butterscotch Pastry,50.0
Chocolate Truffle Pastry,60.0
Chocolate Donut [Large],59.0
Choco Chip Brownie,59.0
Red Velvet Chocolate Cake,480.0
Red Velvet Cream Cheesecake,480.0
Kit Kat Cake,480.0
Death by Chocolate Cake,480.0
Roasted Almond Cake,480.0
Pineapple Cake,360.0
Black Forest Cake,360.0
Butterscotch Cake,360.0
Dark Knight Cake,400.0
Chocolate Globe Cake,400.0
Chocolate Overload Cake,400.0
Chocolate Fantasy Cake,400.0
Chocolate Ganache Cake,400.0
Chocolate Truffle Cake,400.0
Dutch Truffle Cake,400.0
Chocolate Zebra Cake,400.0
Blackcurrant Cake,400.0
Blueberry Cake,400.0
Raspberry Cake,400.0
Swiss Chocolate Cake,400.0
Mango Cake,450.0
Tiramisu Cake,450.0
Chocolate Caramel Cake,450.0
Litchi Cake,450.0
Chocolate Mousse Cake,450.0
Chocochips Cake,450.0
Fresh Fruit Cake,450.0
Belgium Chocolate Cake,450.0
White Forest Cake,450.0
