names,prices
Chicken Biryani with Lime Juice,189.0
Arabian Meal,199.0
Paneer Butter Masala + 2 Roti + 1 Lime Juice Combo,199.0
1 Butter Chicken Full +2 Naan+ 2 Roti + 2 Lime Juice,359.0
Ghee Rice Combo(Ghee rice+dal fry+kabab+lime juice),199.0
Chicken Biryani with Lime Juice,189.0
Arabian Meal,199.0
Chicken Burger Combo,169.0
2chicken Burger+Fires+2lime juice,259.0
Shawarma with French Fry and Lime Juice,199.0
2Shawarma+Fires+2Lime Juice,289.0
Paneer Butter Masala + 2 Roti + 1 Lime Juice Combo,199.0
1 Butter Chicken Full +2 Naan+ 2 Roti + 2 Lime Juice,359.0
Arabian Delight(Grilled chicken [2 pieces]+2 kuboos+masala fries+mayo,199.0
Arabian Pack( Grilled chicken [2 pieces]+4 kuboos+wedges+mayo,219.0
Friendship Pack(Grilled chicken [6 pieces]+6 Kubus + Masala Fries + Garlic Mayo,389.0
Mayonnaise and Kubboos,130.0
Veg Shawarma,80.0
Paneer Shawarma,100.0
Chicken Fries Meat Roll,130.0
Chicken Shawarma Roll,80.0
Chicken Shawarma Spicy Roll,90.0
Chicken Plate Shawarma,150.0
Grilled Chicken,130.0
Arabian Kabsa Rice Chicken,220.0
Arabian Mandi Rice Chicken,240.0
Al Faham,140.0
Arabian Meat Plate Shawarma,190.0
Palak Pulav,160.0
Curd Rice,150.0
Dal Khichdi,150.0
Chicken Keema Rice,210.0
Veg Biryani,130.0
Paneer Tikka Biryani,190.0
Egg Biryani,140.0
Chicken Dum Biryani,140.0
Chicken Hyderabadi Biryani,150.0
Grilled Chicken Dum Biryani,260.0
Arabian Special Biryani,150.0
Chicken Arabian Special Soup,140.0
Chicken Manchow Soup,95.0
Chicken Hot n Sour Soup,95.0
Paneer Tikka Dry,190.0
Tandoori Chicken,140.0
Chicken Tikka Dry [6 Pieces],190.0
Chicken Arabian Special Tandoori,150.0
Chicken Talwari Kabab [6 Pieces],220.0
Chicken Garlic Kabab [6 Pieces],220.0
Chicken Lollipop [6 Pieces],180.0
Chicken 65 [8 Pieces],190.0
Paneer Butter Masala,150.0
Veg Kadai,150.0
Dal Makhani,150.0
Dal Palak,160.0
Paneer Tikka Masala,160.0
Mushroom Ghee Roast,190.0
Mushroom Kadai,150.0
Chicken Masala,160.0
Chicken Kadai,160.0
Chicken Kolhapuri,160.0
Chicken do Pyaza,170.0
Chicken Mughlai,170.0
Chicken Palak,160.0
Chicken Butter Masala,180.0
Chicken Tikka Masala,180.0
Chicken Ghee Roast,190.0
Roti,20.0
Butter Roti,25.0
Naan,30.0
Butter Naan,34.0
Kulcha,30.0
Tandoori Parota,30.0
Cheese Naan,90.0
Egg Parota,90.0
Chicken Parota,95.0
Chicken Fried Rice,130.0
Chicken Schezwan Fried Rice,150.0
Chicken Manchurian Fried Rice,170.0
Chicken Triple Schezwan Fried Rice,180.0
Chicken Sausage Fried Rice,150.0
Chicken Tikka Fried Rice,160.0
Veg Mixed Noodles,150.0
Egg Triple Schezwan Noodles,170.0
Chicken Noodles,150.0
Chicken Chilli Noodles,170.0
Chicken Tikka Noodles,160.0
Gobi Chilli,130.0
Mushroom Manchurian,170.0
Baby Corn Chilli,190.0
Chicken Chilli,170.0
Chicken Manchurian,170.0
Chicken Ginger,180.0
Egg Burger,60.0
Chicken Grilled Burger,85.0
Fried Chicken Burger,95.0
Chicken KFC Special Burger,190.0
Chicken Jumbo Burger,160.0
Egg Cheese Sandwich,70.0
Chicken Tikka Sandwich,95.0
Chicken Kebab Sandwich,95.0
Potato French Fries,95.0
Potato Masala Fries,120.0
Potato Smilies,95.0
Chicken Finger [6 Pieces],190.0
Chicken Popcorn [10 Pieces],190.0
Mango Milkshake,95.0
Arabian Chocolate Milkshake,95.0
Oreo Milkshake,95.0
Choco Almond Milkshake,95.0
Lime Juice,50.0
Lime Mint,60.0
Sweet Lassi,60.0
Mango Lassi,60.0
Banana Lassi,60.0
Butter Milk,60.0
Watermelon Juice,80.0
Arabian Grape Juice,80.0
Leman Soda,80.0
