names,prices
Veg Shawarma,70.0
Falafel Roll Shawarma,90.0
Falafel Plate,180.0
Fried Chicken,340.0
Ghee Rice Combo,295.0
Tikka with 2 Roti,190.0
Tikka with 4 Roti,260.0
Mandi with Alfam [Quarter],290.0
Mandi Rice with kabab,320.0
Biryani with Kabab,205.0
Chicken Masala+Roti [2 Pieces],160.0
Paneer Tikka [6 Pieces],250.0
Chicken Kabab [8 Pieces],270.0
Chicken Lollipop [8 Pieces],240.0
Chicken 65 [8 Pieces],290.0
Mushroom Masala,210.0
Paneer Butter Masala,220.0
Paneer Ghee Roast,245.0
Paneer Masala,220.0
Paneer Kadai,220.0
Veg Korma,195.0
Veg Kolhapuri,195.0
Dal Fry,140.0
Dal Tadka,140.0
Egg Masala,160.0
Egg Kadai,160.0
Egg Tikka Masala,180.0
Chicken Masala,130.0
Chicken Kolhapuri [4 Pieces],240.0
Chicken Kadai [4 Pieces],240.0
Chicken Hyderabadi,240.0
Boneless Butter Chicken,260.0
Chicken Tikka Masala [4 Pieces],270.0
Chicken Urwal Dry [4 Pieces],240.0
Chicken Tikka Achari Masala,280.0
Indian Chilli Chicken,260.0
Roti,25.0
Butter Roti,30.0
Plain Naan,35.0
Butter Naan,40.0
Kulcha,35.0
Butter Kulcha,40.0
Tandoori Parota,45.0
Garlic Naan,45.0
Butter Garlic Naan,50.0
Dal Khichdi,150.0
Biryani Rice Full,120.0
Ghee Rice,120.0
Curd Rice,100.0
Steamed Rice,70.0
Mandi Rice,120.0
Ghee Rice with Kebab and Gravy,195.0
Veg Biryani,175.0
Paneer Biryani,195.0
Egg Biryani,185.0
Boneless Chicken Biryani,230.0
Chicken Biryani,140.0
Chicken Tikka Biryani,250.0
Chicken Kabab Biryani,220.0
Tasty Special Chicken Dum Biryani,260.0
Chicken Mandi,230.0
Prawns Biryani [Full],320.0
Gobi Manchurian,160.0
Mushroom Garlic,220.0
Mushroom Chilli,220.0
Baby Corn Manchurian,195.0
Chicken Chilli,220.0
Chicken Garlic,220.0
Chicken Pepper,220.0
Chicken Manchurian,220.0
Drums of Heaven,220.0
Lemon Dry Chicken,240.0
Veg Fried Rice,130.0
Veg Schezwan Fried Rice,155.0
Veg Singapore Fried Rice,145.0
Paneer Fried Rice,180.0
Egg Fried Rice,145.0
Chicken Fried Rice,170.0
Chicken Schezwan Fried Rice,195.0
Chicken Malaysian Fried Rice,185.0
Veg Noodles,110.0
Veg Schezwan Noodles,130.0
Egg Noodles,110.0
Chicken Noodles,140.0
Chicken Hakka Noodles,140.0
Chicken Schezwan Noodles,160.0
Chicken Hong Kong Noodles,160.0
Chicken Manchurian Noodles,230.0
Veg Burger Super,90.0
Veg Cheese Burger,120.0
Chicken Burger Super,110.0
Chicken Jumbo Burger Super,190.0
Lime Mint Juice,60.0
Fresh Lime Juice,40.0
