names,prices
Barbeque in a Box (Non Veg),899.0
Biryani &amp; Kebabs Box (Chicken),899.0
Biryanis &amp; Kebabs Box (Veg),799.0
Biryanis &amp; Kebabs Box (Mutton),1099.0
Biryani &amp; Kebabs Box (Chicken-Regular),629.0
Meals in a Box (Veg),599.0
Meals in a Box (Non Veg),699.0
Fiery Chicken Wings (12 Nos),509.0
Grills in a Box (Non Veg -OverLoad),699.0
Chicken &amp; Fish Tikka Platter,459.0
Barbeque in a Box (Non Veg),899.0
Grills in a Box (Non Veg -OverLoad),699.0
My Biryanis &amp; Kebabs Box,899.0
Biryanis &amp; Kebabs Box (Mutton),1099.0
Biryani &amp; Kebabs Box (Chicken),899.0
My Biryanis &amp; Kebabs Box - Regular,669.0
Biryani &amp; Kebabs Box (Chicken-Regular),629.0
Biryanis &amp; Kebabs Box (Veg),799.0
Meals in a Box (Veg),599.0
Grills in a Box (Veg),499.0
Meals in a Box (Non Veg),699.0
Fiery Chicken Wings (12 Nos),509.0
Fiery Chicken Drumsticks (6 Nos),509.0
