names,prices
Chicken Ghee Roast Biryani,260.0
Chicken Hyderabadi Biryani,260.0
Paneer Butter Masala Box,190.0
Chicken Guntur Biryani,260.0
Amritsari Chole Box,175.0
Punjabi Rajma Box,175.0
Butter Chicken Box,190.0
Tawa Chicken Box,190.0
Chicken Tikka Masala Box,190.0
Chicken Kolkata Biryani,260.0
Mughlai Chicken Box,190.0
Chicken Ghee Roast Box,205.0
Paneer Tikka Masala Box,190.0
Dal Makhani Box,175.0
Egg Curry Box,175.0
Andhra Chicken Box,190.0
Chicken Mughlai Biryani,260.0
Veg Hyderabadi Biryani,250.0
Egg Hyderabadi Biryani,250.0
Chicken Malabar Biryani,250.0
Palak Paneer Box,190.0
Veg Hyderabadi Biryani,250.0
Mushroom Hyderabadi Biryani,260.0
Veg Mughlai Biryani,250.0
Paneer Mughlai Biryani,260.0
Mushroom Mughlai Biryani,260.0
Veg Guntur Biryani,250.0
Paneer Guntur Biryani,260.0
Mushroom Malabar Biryani,260.0
Paneer Kolkata Biryani,250.0
Egg Hyderabadi Biryani,250.0
Egg Guntur Biryani,250.0
Egg Malabar Biryani,240.0
Egg Ghee Roast Biryani,250.0
Chicken Hyderabadi Biryani,260.0
Chicken Mughlai Biryani,260.0
Chicken Guntur Biryani,260.0
Chicken Malabar Biryani,250.0
Chicken Kolkata Biryani,260.0
Chicken Ghee Roast Biryani,260.0
Punjabi Rajma Box,175.0
Amritsari Chole Box,175.0
Paneer Butter Masala Box,190.0
Dal Makhani Box,175.0
Paneer Ghee Roast Box,200.0
Shahi Paneer Box,190.0
Dal Tadka Box,175.0
Veg Kolhapuri Box,175.0
Paneer Do Pyaza Box,190.0
Palak Paneer Box,190.0
Paneer Tikka Masala Box,190.0
Mushroom Ghee Roast Box,190.0
Egg Curry Box,175.0
Butter Chicken Box,190.0
Hyderabadi Chicken Box,190.0
Mughlai Chicken Box,190.0
Chicken Ghee Roast Box,205.0
Andhra Chicken Box,190.0
Chicken Handi Box,190.0
Chicken Honey Chilli Box,190.0
Afghani Chicken Box,190.0
Chicken Tikka Masala Box,190.0
Tawa Chicken Box,190.0
Chicken Butter Garlic Box,190.0
Chicken Kali Mirch Box,190.0
