names,prices
Masala Dosa,50.0
Spring Cheese Dosa,80.0
Cheese Mysore Masala Dosa,70.0
Mysore Masala Dosa,60.0
Butter Masala Dosa,60.0
Cold Coffee,80.0
Vada Sambar,40.0
Paneer Schezwan Dosa,70.0
Paratha Korma,40.0
Veg Pulao,40.0
Onion Rava Dosa,70.0
Kesari Bath,30.0
Corn Cheese Uttapam,70.0
Palak Paneer Dosa,70.0
3 Set Dosa,50.0
Plain Ghee Roast Dosa,50.0
Watermelon Juice,60.0
Fresh Lime Juice,40.0
Mango Milkshake,80.0
Rava Dosa,50.0
Veg Pulao,40.0
Vada Sambar,40.0
Kesari Bath,30.0
Upma,30.0
Paratha Korma,40.0
2 Sada Dosa,40.0
Plain Ghee Roast Dosa,50.0
Masala Dosa,50.0
Butter Masala Dosa,60.0
Mysore Masala Dosa,60.0
Cheese Mysore Masala Dosa,70.0
Paneer Schezwan Dosa,70.0
Palak Paneer Dosa,70.0
Rava Dosa,50.0
Rava Masala Dosa,70.0
Onion Rava Dosa,70.0
3 Set Dosa,50.0
Podi Dosa,50.0
Spring Cheese Dosa,80.0
Plain Dosa,40.0
Onion Uttapam,60.0
Onion Tomato Uttapam,60.0
Corn Cheese Uttapam,70.0
Veg Cheese Uttapam,70.0
Vanilla Milkshake,70.0
Mango Milkshake,80.0
Pista Milkshake,80.0
Chocolate Milkshake,80.0
Rose Milkshake,70.0
Badam Milkshake,70.0
Apple Milkshake,90.0
Muskmelon Milkshake,80.0
Musumbi Juice,60.0
Papaya Juice,60.0
Watermelon Juice,60.0
Fresh Lime Juice,40.0
Fresh Lime Soda,40.0
Fresh Lime Ginger Soda,50.0
Cold Coffee,80.0
