names,prices
Crispy Chicken Strips,220.0
Chicken Kheema Burger,171.43
Crispy Firehouse Burger,266.67
Grilled Chicken Burger,257.14
Grilled Veg Burger,238.1
Paneer Bhurji Burger,247.62
Roast Pumpkin Burger,285.0
Smash Double Chicken Burger,285.71
The Butchers Burger,285.71
Whole Grilled Chicken Burger,285.71
Chicken Kheema Slider,109.52
Crispy Firehouse Slider,152.38
Grilled Chicken Slider,152.38
Grilled Veg Slider,138.1
Paneer Bhurji Slider,147.62
Smash Double Chicken Slider,171.43
The Butchers Slider,161.9
Whole Grilled Chicken Slider,157.14
C9K French Fries,129.0
Basbousa 1 Pc,85.0
Coca Cola [250ml],30.0
Sprite [250 Ml],30.0
Water Kinley 500 Ml,15.0
