names,prices
Eggless Chocolate Truffle Cake [500 grams],380.0
Eggless Death By Chocolate Cake [500 grams],430.0
Eggless Lava Cake [500 grams],380.0
Chocolate Almond Cake [500 grams],375.0
Pineapple Cake [500 grams],375.0
Chocolate Truffle Cake [500 grams],350.0
Chocolate Truffle Cake [1 kg],700.0
Death By Chocolate Cake [500 grams],400.0
Black Forest Cake [500 grams],375.0
Choco Treasure Cake [500 grams],375.0
Eggless Lava Cake [500 grams],380.0
Eggless Butterscotch Cake [500 grams],380.0
Eggless Zebra Cake [500 grams],380.0
Eggless Cafe Mocha Cake [500 grams],380.0
Eggless Rum and Raisins Cake [500 grams],380.0
Eggless Chocolate Truffle Cake [500 grams],380.0
Eggless Green Apple Cake [500 grams],380.0
Eggless Pineapple Cake [500 grams],405.0
Eggless Belgian Sin Cake [500 grams],405.0
Eggless White Forest Cake [500 grams],405.0
Eggless Black Forest Cake [500 grams],405.0
Eggless Mango Cake [500 grams],405.0
Eggless Blueberry Cake [500 grams],405.0
Eggless Orange Cake [500 grams],405.0
Eggless Death By Chocolate Cake [500 grams],430.0
Eggless Redvelvet Cake [500 grams],550.0
Eggless Lava Cake [1 kg],760.0
Eggless Butterscotch Cake [1 kg],760.0
Eggless Rum and Raisins Cake [1 kg],760.0
Eggless Chocolate Truffle Cake [1 kg],760.0
Eggless Belgian Sin Cake [1 kg],810.0
Eggless Chocolate Almond Cake [1 kg],810.0
Eggless Death By Chocolate Cake [1 kg],860.0
Lava Cake [500 grams],350.0
Dark Fantasy Cake [500 grams],350.0
Butterscotch Cake [500 grams],350.0
Cafe Mocha Cake [500 grams],350.0
Chocolate Truffle Cake [500 grams],350.0
Pineapple Cake [500 grams],375.0
Strawberry Cake [500 grams],375.0
White Forest Cake [500 grams],375.0
Chocolate Forest Cake [500 grams],375.0
Black Forest Cake [500 grams],375.0
Blueberry Cake [500 grams],375.0
Choco Treasure Cake [500 grams],375.0
Chocolate Almond Cake [500 grams],375.0
Death By Chocolate Cake [500 grams],400.0
Rose Cake [500 grams],600.0
Lava Cake [1 kg],700.0
Dark Fantasy Cake [1 kg],700.0
Butterscotch Cake [1 kg],700.0
Cafe Mocha Cake [1 kg],700.0
Chocolate Truffle Cake [1 kg],700.0
Chocochip Cake [1 kg],700.0
White Forest Cake [1 kg],750.0
Chocolate Forest Cake [1 kg],750.0
Black Forest Cake [1 kg],750.0
Fruity Delight Cake [1 kg],800.0
Death By Chocolate Cake [1 kg],800.0
Special Cake [1 kg],900.0
Honey Cake [1 kg],1000.0
