names,prices
Chicken Dum Biryani,105.0
Tandoori Chicken,100.0
Chicken Tikka Biryani,125.0
Chicken Sukka,95.0
Butter Chicken,115.0
Mutton Dum Biryani,135.0
Chicken Kabab,100.0
Boneless Chicken Tikka,75.0
Chilli Chicken,175.0
Mutton Papper,240.0
Chicken Manchurian,175.0
Ghee Rice,85.0
Paneer Butter Masala,150.0
Chicken Noodles,145.0
Egg Noodles,135.0
Paneer Manchurian,135.0
Mutton Masala,135.0
Kerala Paratha,15.0
Mutton Hot and Sour Soup,90.0
Paneer Tikka,90.0
Dal Fry,85.0
Tandoori Roti,20.0
Kalmi Kabab,65.0
Egg Masala,60.0
Biryani Rice,60.0
Chicken Family Pack,1250.0
Veg Sweet Corn Soup,70.0
Chicken Hot and Sour Soup,80.0
Chicken Manchow Soup,80.0
Mutton Hot and Sour Soup,90.0
Paneer Tikka,90.0
Tandoori Chicken,100.0
Boneless Chicken Tikka,75.0
Kalmi Kabab,65.0
Chicken Kabab,100.0
Mushroom Pepper,135.0
Chicken Lollipop Dry,100.0
Boneless Chicken 65,200.0
Mutton Papper,240.0
Paneer Chilli,135.0
Paneer Manchurian,135.0
Mushroom Chilli,135.0
Mushroom Manchurian,135.0
Baby Corn Manchurian,135.0
Gobi Manchurian,110.0
Chicken Manchurian,175.0
Chilli Chicken,175.0
Boneless Chicken Chilli,210.0
Butter Pepper Garlic Chicken,220.0
Boneless Butter Pepper Garlic Chicken,260.0
Mutton Sukka,250.0
Veg Kolhapuri,130.0
Paneer Butter Masala,150.0
Paneer Kadai,150.0
Baby Corn Masala,130.0
Dal Tadka,95.0
Dal Fry,85.0
Chicken Tikka Masala [4 Pieces],225.0
Chicken Mughlai [4 Pieces],210.0
Chicken Kali Mirch [4 Pieces],195.0
Chicken Kolhapuri [4 Pieces],195.0
Chicken Hyderabadi [4 Pieces],195.0
Chicken Kadai,115.0
Butter Chicken,115.0
Mutton Roast Masala [4 Pieces],225.0
Mutton Masala,135.0
Egg Masala,60.0
Chicken Masala,115.0
Chicken Sukka,95.0
Tandoori Roti,20.0
Tandoori Butter Roti,25.0
Plain Tandoori Naan,25.0
Butter Tandoori Naan,32.0
Butter Tandoori Kulcha,32.0
Kerala Paratha,15.0
Plain Rice,45.0
Ghee Rice,85.0
Jeera Rice,85.0
Biryani Rice,60.0
Veg Biryani,140.0
Egg Biryani,150.0
Chicken Dum Biryani,105.0
Chicken Tikka Biryani,125.0
Mutton Dum Biryani,135.0
Veg Fried Rice,120.0
Veg Schezwan Fried Rice,135.0
Egg Fried Rice,135.0
Chicken Fried Rice,145.0
Mutton Schezwan Fried Rice,205.0
Mixed Fried Rice,200.0
Egg Noodles,135.0
Chicken Noodles,145.0
Green Salad,75.0
Mineral Water [1 litre],25.0
