names,prices
Veg Cream Soup,110.0
Tomato Soup,110.0
Veg Wonton Soup,110.0
Veg Sweet Corn Soup,110.0
Veg Manchow Soup,110.0
Veg Hot and Sour Soup,110.0
Mushroom Soup,120.0
Chicken Sweet Corn Soup,120.0
Chicken Hot and Sour Soup,120.0
Chicken Manchow Soup,120.0
Chicken Lung Fung Soup,120.0
Chicken Wonton Soup,120.0
Chicken Lemon Coriander Soup,120.0
Chicken Wonton Noodles Soup,140.0
Salad,90.0
Paneer Tikka Dry,180.0
Malai Chaap,190.0
Banjara Kabab,200.0
Chilli Kabab,200.0
Chicken Tikka Dry,200.0
Chicken Karachi,200.0
Chicken Hariyali Kabab,200.0
Chicken Seekh Kabab,200.0
Tandoori Chicken,210.0
Chicken Kalmi Kabab,180.0
Mushroom Tikka,180.0
Paneer 65,180.0
Chicken Kabab Fry,200.0
Chicken 65,200.0
Mutton Pepper Fry,350.0
Aloo Fry,150.0
Aloo Jeera,150.0
Mixed Black Dal,160.0
Yellow Dal,160.0
Dal Palak,160.0
Bhindi Fry,160.0
Bhindi Masala,170.0
Vegetable Kurma,170.0
Vegetable Kadai,170.0
Veg Kolhapuri,170.0
Veg Jalfrezi,170.0
Chana Masala,170.0
Green Peas Masala,170.0
Aloo Gobi,170.0
Gobi 65,170.0
Malai Kofta,170.0
Methi Malai Matar,170.0
Methi Malai Paneer,180.0
Paneer Kadai,180.0
Paneer Tikka Masala,180.0
Paneer Palak,180.0
Paneer Butter Masala,180.0
Paneer Do Pyaza,180.0
Paneer Kolhapuri,180.0
Paneer Kali Mirchi,180.0
Paneer Shahi,180.0
Paneer Kofta,180.0
Paneer Matar,180.0
Paneer 65,180.0
Paneer Bhurji,180.0
Mushroom Masala,180.0
Mushroom Matar,180.0
Egg Bhurji,130.0
Egg Masala,160.0
Chicken Liver Fry,150.0
Chicken Mughlai,200.0
Chicken Kadai,200.0
Chicken Do Pyaza,200.0
Butter Chicken,200.0
Chicken Hariyali Masala,200.0
Chicken Tikka Masala,200.0
Chicken Masala,200.0
Chicken Kolhapuri,200.0
Chicken Rara,200.0
Mutton Rogan Josh,350.0
Mutton Masala,350.0
Roti,40.0
Kulcha,40.0
Paratha,50.0
