names,prices
Non Veg Loaded,165.0
Cheesy,99.0
Margherita,99.0
Farmhouse,229.0
Moroccan Spice Pasta Pizza - Veg,169.0
Veg Loaded,145.0
Onion,65.0
Pepper Barbecue Chicken,115.0
Choco Lava Cake,99.0
Taco Mexicana-Veg (Single),69.0
Tomato,59.0
Cheesy Dip,25.0
The Cheese Dominator,319.0
The 4 Cheese Pizza,319.0
Margherita,99.0
Double Cheese Margherita,189.0
Farmhouse,229.0
Peppy Paneer,229.0
Mexican Green Wave,229.0
Deluxe Veggie,249.0
Veg Extravaganza,249.0
Veggie Paradise,229.0
Cheese n Corn,169.0
Fresh Veggie,189.0
Paneer Makhani,249.0
Indi Tandoori Paneer,249.0
Cheese n Tomato,169.0
Achari Do Pyaza,169.0
Creamy Tomato Pasta Pizza - Veg,229.0
Moroccan Spice Pasta Pizza - Veg,169.0
Creamy Tomato Pasta Pizza - Non Veg,229.0
Moroccan Spice Pasta Pizza - Non Veg,229.0
Chicken Golden Delight,249.0
Non Veg Supreme,319.0
Chicken Pepperoni,319.0
Chicken Fiesta,249.0
Chicken Dominator,319.0
Pepper Barbecue Chicken,229.0
Chicken Sausage,189.0
Pepper Barbecue Chicken &amp; Onion,229.0
Indi Chicken Tikka,319.0
Keema Do Pyaza,189.0
The 4 Cheese Pizza,319.0
The Cheese Dominator,319.0
Paneer Tikka Stuffed Garlic Bread,159.0
Chicken Pepperoni Stuffed Garlic Bread,159.0
Red Velvet Lava Cake,129.0
Creamy Tomato Pasta Pizza - Veg,229.0
Moroccan Spice Pasta Pizza - Veg,169.0
Creamy Tomato Pasta Pizza - Non Veg,229.0
Moroccan Spice Pasta Pizza - Non Veg,229.0
Clean Bowled Classic Veg Combo,105.0
Clean Bowled Classic Non Veg Combo,157.0
Quick Singles Classic Veg Combo,199.0
Quick Singles Classic Non Veg Combo,219.0
Quick Singles Deluxe Non Veg Combo,335.0
Cricket Buddies Veg Combo,485.0
Family Dugout Party Classic Non Veg Combo,959.0
Extra Innings 2 Med Deluxe Veg Combo,769.0
Extra Innings 2 Med Deluxe Non Veg Combo,769.0
Non Veg Loaded,165.0
Veg Loaded,145.0
Pepper Barbecue Chicken,115.0
Paneer &amp; Onion,99.0
Cheesy,99.0
Chicken Sausage,99.0
Golden Corn,85.0
Capsicum,79.0
Onion,65.0
Tomato,59.0
Roasted Chicken Wings Peri-Peri,129.0
Roasted Chicken Wings - Classic Hot Sauce,129.0
Chicken Meatballs Peri-Peri Seasoning,119.0
Boneless Chicken Wings Peri-Peri,149.0
Chicken Meatballs Peri-Peri Sauce,119.0
Paneer Tikka Stuffed Garlic Bread,159.0
Chicken Pepperoni Stuffed Garlic Bread,159.0
Red Velvet Lava Cake,129.0
Garlic Breadsticks,99.0
Cheesy Jalapeno Dip,25.0
Cheesy Dip,25.0
Choco Lava Cake,99.0
Butterscotch Mousse Cake,99.0
Classic Stuffed Garlic Bread,149.0
Taco Mexicana Non Veg,149.0
Taco Mexicana Veg,129.0
Chicken Parcel,49.0
Veg Parcel,39.0
Burger Pizza - Classic Veg,109.0
Burger Pizza - Premium Veg,139.0
Burger Pizza - Classic Non Veg,149.0
Tomato Ketchup,1.0
Potato Cheese Shots,69.0
Taco Mexicana-Veg (Single),69.0
Crunchy Strips,59.0
Crinkle Fries,59.0
Brownie Fantasy,59.0
Creamy Tomato Pasta Veg,129.0
Tikka Masala Pasta Veg,129.0
Moroccan Spice Pasta Veg,129.0
Creamy Tomato Pasta Non Veg,139.0
Tikka Masala Pasta Non Veg,139.0
Moroccan Spice Pasta Non Veg,149.0
Pepsi (500ml),60.0
7Up (500ml),60.0
Mirinda (500ml),60.0
Pepsi Black Can,60.0
Slice (350ml),50.0
B Natural Alphonsos from Ratnagiri (300 ml),70.0
B Natural Pink Guavas from Dakshin India (300 ml),70.0
Bailley One (500ml),20.0
Nimbooz ( 350ml ),60.0
Lipton Ice Tea ( 350 ml),60.0
Red Velvet Lava Cake,129.0
Choco Lava Cake,99.0
Butterscotch Mousse Cake,99.0
Brownie Fantasy,59.0
