names,prices
Chicken Lasagna,239.0
Peri Peri Chicken Wings [6 Pieces],194.0
Veg Manchurian + Veg Schezwan Fried Rice + Lime Juice,289.0
Peri Peri Prawns Sizzler,295.0
Pepper Blast Paneer,175.0
Grilled Chicken Lemon Garlic,165.0
Veg Manchurian + Veg Schezwan Fried Rice + Lime Juice,289.0
Veg Peri Peri Momos [6 Pieces] + Peri Peri Veg Roll + Fries,295.0
Paneer Shashlik Sizzler,249.0
Chicken Steak Sizzler,275.0
Peri Peri Prawns Sizzler,295.0
Cream of Mushroom Soup,99.0
Chicken Clear Soup,99.0
Chicken Manchow Soup,119.0
Chicken Hot and Sour Soup,119.0
Veg Caesar Salad,135.0
Veg Russian Salad,135.0
Veg Green Salad,135.0
Chicken Greek Salad,145.0
Chicken Caesar Salad,145.0
Chicken Russian Salad,145.0
Chicken Coleslaw Salad,145.0
Chicken Green Salad,140.0
Cheese Corn Balls,159.0
Loaded Nachos,214.0
Cheese Peri Peri Nachos,199.0
Pepper Blast Paneer,175.0
Mushroom Barley Potato,165.0
Spanish Potato,165.0
Chicken Nuggets,159.0
Chicken Popcorn(10pcs),149.0
Chicken Meat Ball Cheese Sauce,174.0
Crunchy Chicken,164.0
Peri Peri Chicken Wings [6 Pieces],194.0
BBQ Chicken Wings [6 Pieces],189.0
Chicken Wings on Fire [6 Pieces],189.0
Grilled Chicken Lemon Garlic,165.0
Tuscan Chicken,165.0
Afghani Chicken,169.0
Herbal BBQ Drumstick,185.0
Fish and Chips,219.0
Grilled Prawns,219.0
Veg Stroganoff,185.0
Grilled Chicken,249.0
Chicken Stroganoff,199.0
Peri Peri Chicken Steak,245.0
Pesto Grilled Fish,265.0
Lemon Grilled Fish,265.0
Veg Manchurian,159.0
Veg Crispy,165.0
Paneer Manchurian,169.0
Paneer 65,179.0
Paneer Chilli,179.0
Mushroom Chilli,169.0
Baby Corn Manchurian,165.0
Palak Gobi Manchurian,165.0
Chicken Manchurian,179.0
Chicken Chilli,179.0
Chicken Basil,179.0
Chicken Lollipop,185.0
Chicken Hot and Sweet Lollipop,189.0
Chicken Honey Crispy,185.0
Chicken 65,179.0
Veg Manchurian Fried Rice,169.0
Veg Sherpa Fried Rice,159.0
Veg Pot Fried Rice,169.0
Chicken Combination Fried Rice,174.0
Chicken Hong Kong Fried Rice,174.0
Chicken Schezwan Fried Rice,179.0
Chicken Triple Fried Rice,184.0
Chicken Sherpa Fried Rice,175.0
Chicken Garlic Fried Rice,175.0
Chicken Pot Fried Rice,179.0
Peri Peri Prawns Fried Rice,189.0
Veg Hakka Noodles,155.0
Veg Schezwan Noodles,159.0
Veg Manchurian Noodles,165.0
Veg Dragon Noodles,165.0
Chicken Hakka Noodles,165.0
Chicken Schezwan Noodles,174.0
Chicken Manchurian Noodles,179.0
Chicken Dragon Noodles,179.0
Chicken Chopper Noodles,179.0
Veg American Chopsuey,159.0
Chicken American Chopsuey,175.0
Chicken Chinese Chopsuey,179.0
Chicken Creamy Pesto Pizza [7 inches],194.0
Veg Alfredo Pasta,185.0
Veg Arabita Pasta,185.0
Veg Creamy Pesto Pasta,179.0
Veg Mac and Cheese Pasta,195.0
Veg Pepper Corn Pasta,185.0
Veg Aglio e Olio Pasta,185.0
Veg Lasagna,220.0
Chicken Lasagna,239.0
Chicken Alfredo Pasta,215.0
Chicken Creamy Pesto Pasta,210.0
Chicken Mac and Cheese Pasta,225.0
Chicken Aglio e Olio Pasta,205.0
Mini Veg Burger,74.0
BBQ Veg Burger,135.0
Cottage Cheese Burger,139.0
Classic Veg Burger,139.0
BBQ Cottage Cheese Burger,144.0
Peri Peri Veg Burger,144.0
Mini Chicken Burger,84.0
BBQ Chicken Burger,144.0
Peri Peri Chicken Burger,155.0
American Chicken Burger,159.0
Crispy Chicken Cheese Burger,154.0
Chilli Chicken Burger,154.0
Veg Sandwich,99.0
Cottage Cheese Sandwich,135.0
Cheese Corn Sandwich,135.0
Mushroom Cheese Sandwich,135.0
Egg Sandwich,125.0
Roasted Chicken Sandwich,135.0
BBQ Chicken Sandwich,140.0
Peri Peri Chicken Sandwich,140.0
Peri Peri Paneer Roll,134.0
BBQ Paneer Roll,134.0
Peri Peri Chicken Roll,144.0
BBQ Chicken Roll,144.0
Cajun Spicy Chicken Roll,155.0
Cajun Spicy Fish Roll,169.0
Plain Omlette,95.0
French Omlette,99.0
Veg Mexican Quesadilla,155.0
Cottage Cheese Quesadilla,154.0
BBQ Cottage Cheese Quesadilla,154.0
Peri Peri Chicken Quesadilla,179.0
Mexican Chicken Quesadilla,179.0
Original Fries,110.0
Peri Peri French Fries,124.0
Cheese French Fries,144.0
Mac and Cheese Fries,169.0
Cheese Garlic Bread,129.0
Chilli Cheese Garlic Bread,134.0
Cheese Masala Garlic Bread,134.0
Pesto Cheese Garlic Bread,134.0
Jalapeno Heat Garlic Bread,149.0
Veg Mayonnaise,20.0
Egg Mayonnaise,20.0
Nescafe Gold Cold Coffee,89.0
Watermelon Mojito,99.0
Orange Mojito,99.0
Grape Mojito,99.0
Pineapple Mojito,99.0
Mango Mojito,99.0
Blackcurrant Mojito,99.0
Strawberry Mojito,99.0
Kiwi Mojito,109.0
Blueberry Mojito,99.0
Virgin Mojito,109.0
Strawberry Milkshake,95.0
Oreo Milkshake,95.0
Rose Milkshake,95.0
Almond Milkshake,95.0
Blackcurrant Milkshake,95.0
Blueberry Milkshake,95.0
Chocolate Milkshake,95.0
Fresh Lime Soda,60.0
Mint Lime Soda,75.0
