names,prices
Royal Falooda,130.0
Pineapple Juice,60.0
Royal Fruit Salad,110.0
Mixed Cut Fruit Salad,90.0
Snicker Shake,90.0
Blue Lime Juice,50.0
Watermelon Juice,50.0
Mixed Fruit Juice,70.0
Pineapple Juice,60.0
Badam Milkshake,120.0
Lime Juice,30.0
Ginger Lime Juice,50.0
Blue Lime Juice,50.0
Kit Kat Shake,90.0
Snicker Shake,90.0
Cold Coffee Shake,90.0
Fruit Salad with Ice Cream,100.0
Royal Fruit Salad,110.0
Mixed Cut Fruit Salad,90.0
Rose Falooda,130.0
Royal Falooda,130.0
Dry Fruit Falooda,180.0
