names,prices
Rajbhog [1000 ml],260.0
Belgian Chocolate [1000 ml],280.0
Cookies 'N' Cream [1000 ml],260.0
Chikku [1000 ml],250.0
Pink Guava Ice Cream [1 litre],250.0
Butterscotch [1000 ml],200.0
Brownie Fudge [500 ml],300.0
Roasted Almond [1000 ml],280.0
Butterscotch [1000 ml],200.0
Creamy Vanilla [1000 ml],170.0
Rajbhog [1000 ml],260.0
Belgian Chocolate [1000 ml],280.0
Chikku [1000 ml],250.0
Melody [1000 ml],230.0
Anjir [1000 ml],220.0
Cookies 'N' Cream [1000 ml],260.0
Pink Guava Ice Cream [1 litre],250.0
