names,prices
Chicken Bermuda Combo,278.0
Chicken Bermuda Sandwich,185.0
Spicy Wings,156.0
Chicken Pops,117.0
Roy Al Twister Chicken,221.0
French Fries,91.0
Classic Chicken Basket,80.0
Crispy Wings,145.0
Spicy Chicken Basket,86.0
Mexican Fries,104.0
joyful chkn Burger Meal Combo,234.0
Chicken Bermuda Meal Combo,355.0
Veg Classic Burger,104.0
Classic Chicken Basket,80.0
Spicy Chicken Basket,86.0
French Fries,91.0
Mexican Fries,104.0
Tangy Pop Chix,123.0
Crispy Wings,145.0
Spicy Wings,156.0
Boneless Supreme Chicken,130.0
Veg Bermuda Combo,250.0
3pc Supreme Boneless Combo,234.0
5pc Crispy Wings Combo,247.0
5pc Spicy Wings Combo,260.0
Tower Al Burger Combo,260.0
Chicken Bermuda Combo,278.0
joyful chkn Burger Meal Combo,234.0
Tower Al Burger Meal Combo,325.0
Chicken Bermuda Meal Combo,355.0
Roy Al Twister Meal Combo,377.0
Joyful Veg Burger,52.0
Veg Classic Burger,104.0
Paneer Burger,104.0
Big-Al Chicken Burger,143.0
Spicy Al Chicken Burger,145.0
Joyful Chicken Burger,65.0
Veg Bermuda Sandwich,160.0
Chicken Bermuda Sandwich,185.0
Roy Al Twister Chicken,221.0
Veg Pops,104.0
Chicken Pops,117.0
