names,prices
Biryani and Kabab Combo,220.0
Chicken Chinese Combo,300.0
Dosa with Chicken Green Korma,130.0
Chicken Lasooni Kebab,300.0
Chicken Hyderabadi Biryani Combo,250.0
Veg Chinese Combo,250.0
Chicken Tikka Masala,170.0
Dosa with Ghee Roast Chicken,150.0
Murgh Ghee Roast Tikka,300.0
Chicken Heera Tikka,300.0
Chicken Ghee Roast,300.0
Paneer Tikka Masala,130.0
Chapati,20.0
Dosa with kundapuri chicken,130.0
Veg Chinese Combo,250.0
2 Dosa with Paneer Butter Masala,130.0
Chicken Chinese Combo,300.0
South Indian Chicken Combo,250.0
Biryani and Kabab Combo,220.0
Dosa with Chicken Green Korma,130.0
Dosa with kundapuri chicken,130.0
Dosa with Ghee Roast Chicken,150.0
Chicken Hyderabadi Biryani Combo,250.0
Sea Food South Combo,850.0
Mixed Veg Salt and Pepper,200.0
Gobi Varuval,250.0
Grilled Chicken with Lemon Butter Sauce,300.0
Chicken Ghee Roast,300.0
Murgh Ghee Roast Tikka,300.0
Chicken Lasooni Kebab,300.0
Chicken Haryali Kebab,300.0
Chicken Heera Tikka,300.0
Tawa Sabzi,250.0
Paneer Butter Masala,250.0
Palak Paneer,250.0
Paneer Tikka Masala,130.0
Paneer Lababdar,250.0
Butter Chicken,300.0
Chicken Tikka Masala,170.0
Chapati,20.0
Tawa Paratha,40.0
Tandoori Rotti,20.0
Butter Naan,30.0
Egg Burnt Garlic Fried Rice,250.0
Chicken Hakka Noodles,300.0
Veg Club Sandwich,200.0
